stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,263.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,5.26,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,64,1,0,0,0,0,0,1,3,0,27,86,30,0,0,0,0,0
 24-34,0,0,0.82,3.28,0,0,4.93,1.64,0,0,5.75,0,1.64,0,0,0,0,0,0,0,11.49,0,0,26.27,420.28,0.82,0.82,0,0,0,0.82,0,0,0.82,2.46,31.19,63.21,0,0,0.82,0,1.64
 36-46,0,0,1.61,3.22,0,0,19.34,11.28,0,0.81,35.45,0,0,0,0,0,0,0,0.81,0,37.06,0,0,41.89,939.41,0,0,0,0,0,0.81,0,0,0,0.81,4.03,172.41,0,0,1.61,0,0
 48-58,0,0,0.57,2.3,0.57,0,59.68,13.2,0,3.44,71.15,0,0,0,0.57,0,1.72,0,1.15,0.57,70,0,2.3,64.27,1003.01,0,1.72,1.15,0,0,1.72,0,0,0,6.31,0.57,163.53,0,0.57,0.57,0,0.57
 60-70,0,0,0.98,3.93,0,0,128.58,30.43,0,0.98,73.61,0.98,0,0.98,0,0,0.98,0,0.98,0,105.02,0.98,3.93,61.84,1628.34,0,0,0.98,0,0.98,5.89,0,0,0.98,2.94,0,179.62,0,2.94,1.96,1.96,1.96
 72-82,0,0,1.96,6.87,5.89,0,170.81,24.54,0,7.85,91.29,0.98,0,0,1.96,0,0,0,0,0.98,167.86,0,4.91,74.61,1076.88,0,0,2.94,0,0,2.94,0,0,0.98,6.87,0,92.28,0,1.96,3.93,3.93,1.96
 84-94,0,0,0,7.43,3.19,0,135.94,26.55,0,0,70.09,0,0,2.12,1.06,1.06,1.06,0,0,1.06,103.02,0,2.12,88.15,519.34,0,1.06,2.12,0,1.06,3.19,0,0,0,4.25,0,41.42,0,4.25,2.12,1.06,3.19
 96-106,0,0,0,5.46,2.19,2.19,72.13,27.32,1.09,5.46,49.18,0,0,0,1.09,0,1.09,1.09,0,0,93.98,0,2.19,65.57,375.94,0,0,4.37,0,2.19,5.46,0,0,0,8.74,0,12.02,0,2.19,2.19,4.37,1.09
108-118,0,0,0,2.3,2.3,0,57.45,22.98,0,4.6,50.55,0.77,0,0,3.06,0,0,0,0.77,0,55.92,0,0,72,437.36,0,0.77,5.36,0,3.06,1.53,0,0,0,3.83,0,6.89,0,0.77,0.77,3.06,0
120,0,0,0,7.84,1.96,0,74.47,21.56,1.96,0,68.59,1.96,0,0,3.92,0,0,0,0,0,50.95,0,0,68.59,433.11,0,0,3.92,0,0,1.96,0,0,0,3.92,0,5.88,1.96,3.92,3.92,0,0
