stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,16,221,32,50,0,0,0,13,10,4,6,0,2,0,1,8,1,75,0,63,646,66,1,10,23,34,13,179,17,36,177,244,0,7,1
 24-34,2.46,9.85,0.82,22.16,0,0.82,0,2.46,0,0,0.82,0,1.64,0,1.64,1.64,0,21.34,0.82,12.31,97.68,2.46,4.1,0.82,0,23.8,1.64,0,1.64,0.82,11.49,18.88,0,4.1,0
 36-46,0,1.61,0.81,4.03,2.42,0,0,0,0,0,3.22,0,0,1.61,0,0,0,10.47,0.81,4.83,23.36,0,0,0.81,0,12.09,0,0,0.81,0.81,0,4.03,0,2.42,0
 48-58,0,0.57,0,5.16,0.57,0,0,0,0,0,0,0,0,0.57,0,0,0.57,7.46,0,1.72,6.89,0,0,0,0,2.87,0,0,0,0,0,0.57,0.57,0.57,0
 60-70,0,0.98,0,2.94,2.94,0,0.98,0,0,0,0,0,0,0,0,0,0,1.96,0,0.98,3.93,0,0,0,0,1.96,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0.98,2.94,0,0,0,0,0,0,0.98,0,0,0,0,0,1.96,0,0.98,5.89,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,2.12,0,0,0,0,4.25,0,0,0,2.12,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19,0,0,0,0,1.09,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0.77,1.53,0,0,0.77,0,0,0.77,0,0,0,0,0,0,0.77,0,0.77,3.83,0,0,0,0,0.77,0,0,0,1.53,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0
