stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,28.92,0,0,0,0,0,2.63,0,0,0,0,0,0,81.49,0,0,0,18.4,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,97.56,3.15,0,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,2,14,3,26,0,0,0,1,0,0,0,0,0,10,0,8,208,1,0,0,4,1,21,1,2,63,36,0,0
 24-34,0,0,0,4.93,0,23.8,0,0,0.82,4.1,0.82,0,0,0,0.82,5.75,0.82,0.82,101.79,0,0,0.82,0,0.82,0,0.82,0,9.03,14.78,0,0.82
 36-46,0,0,0,0,0,7.25,0,0,0,3.22,0,0,0,0,0,4.83,0,1.61,34.64,0,0,0,0,0.81,0,0,0,0,7.25,0,0
 48-58,0,0,0,1.15,0,11.48,0,0,0,1.72,0,0,0,0.57,0,2.87,0,0.57,21.23,0,0,0,0,2.87,0,0,0,0,2.87,0,0.57
 60-70,0,0,0,0,0,25.52,0,0,0,1.96,0,0,0,0,0,2.94,0,0,20.61,0,0,1.96,0,0.98,0,0,0,0,1.96,0,0
 72-82,0,0,0,0.98,0,21.6,0,0,0.98,9.82,0,0,0,0,0,8.83,0.98,1.96,26.5,0,0,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,10.62,0,0,1.06,2.12,1.06,0,0,0,0,4.25,0,2.12,5.31,0,0,0,0,4.25,0,0,0,0,2.12,1.06,0
 96-106,0,0,0,4.37,0,8.74,0,0,1.09,1.09,1.09,0,1.09,0,0,7.65,0,3.28,10.93,0,1.09,0,0,3.28,0,0,0,0,0,0,1.09
108-118,0,0,0,1.53,0,9.96,0.77,0.77,0,6.13,0,0,0,0,0,2.3,0,4.6,16.09,0,0.77,0,0,0.77,0,0,0,0,0.77,0,0.77
120,0,0,0,1.96,0,1.96,0,1.96,3.92,0,0,0,0,0,0,9.8,0,0,5.88,0,0,0,0,1.96,0,0,0,0,0,0,0
