stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,42.06,5.26,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,6.29,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,7,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,6,0,0,0,1,0,0,0,2,96,0,0,0,0,0
 24-34,0,6.57,0,6.57,0.82,0,13.95,0,0,0,0.82,0,0,0,0,0,0.82,0,0,0,4.1,0,0,2.46,743.7,0.82,16.42,2.46,0,0,3.28,0.82,0,0,0,237.23,0,0,0,0,0
 36-46,0,0.81,0,2.42,0,0,87.82,0,0,0,4.03,0,0,1.61,0,0.81,0,0.81,0.81,0,7.25,0,0,0,2070.57,0,40.28,0,0,0,3.22,0,0,0.81,0,348.85,0,0,0,0,0.81
 48-58,0,0.57,0,8.61,0.57,0,360.92,0.57,0,0.57,25.82,0,0,0.57,0.57,0,2.87,0.57,0.57,2.3,25.82,0,1.72,5.16,2757.71,1.15,16.07,1.72,0,0,6.31,0,0.57,1.15,0,391.33,0,0,2.3,0,1.15
 60-70,0,3.93,0,15.7,0.98,0,964.84,1.96,2.94,0.98,54.97,0,0.98,0,0,0,0.98,0,0,1.96,33.37,0.98,0.98,8.83,4105.71,1.96,19.63,4.91,0,0,6.87,0,0,0.98,0,394.57,0,0,1.96,0.98,2.94
 72-82,0,7.85,0.98,35.34,1.96,0,1113.2,2.94,2.94,4.91,120.74,6.87,0,0,0.98,0.98,5.89,2.94,0,0,58.9,0,0.98,5.89,3446.61,2.94,35.34,7.85,0,0,5.89,0,0,0,0,219.89,2.94,1.96,3.93,1.96,4.91
 84-94,0,5.31,0,41.42,8.5,0,740.24,1.06,1.06,3.19,98.77,8.5,0,2.12,5.31,2.12,2.12,1.06,2.12,0,54.16,0,4.25,6.37,1826.7,1.06,20.18,11.68,0,0,7.43,0,0,0,0,114.7,8.5,1.06,2.12,3.19,4.25
 96-106,0,3.28,0,13.11,7.65,1.09,590.14,1.09,2.19,2.19,103.82,6.56,0,0,5.46,0,1.09,4.37,5.46,0,40.44,0,2.19,1.09,1560.59,3.28,43.71,18.58,0,0,13.11,0,2.19,1.09,0,52.46,2.19,1.09,4.37,0,2.19
108-118,0,4.6,0,22.21,3.06,2.3,462.64,0.77,0,0,76.6,1.53,0,0.77,3.06,2.3,2.3,3.06,1.53,0,22.98,2.3,2.3,0.77,1635.33,0,20.68,11.49,0,0.77,3.83,0,0.77,0.77,0,31.4,4.6,0.77,0.77,4.6,1.53
120,0,5.88,0,33.32,5.88,0,454.67,0,0,0,99.95,3.92,0,0,11.76,0,1.96,5.88,0,0,35.28,0,0,5.88,2055.82,0,17.64,11.76,0,1.96,9.8,0,0,0,0,54.87,3.92,0,9.8,3.92,0
