stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  5-6,12.26,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,3,0,3,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,5.75,2.46,0,0,0,0,0,45.15,1.64,6.57,1.64,13.13,0,0,0,0
 36-46,0,0,0,1.61,0,0,0.81,0,0,0.81,0,0,2.42,0.81,0,0.81,0.81,0,0,78.15,4.03,0.81,3.22,13.7,0,0,0,0
 48-58,0,0,0,1.15,0,0,5.16,0,0,1.15,0,0,0,2.87,0,0.57,0,0,0,96.97,1.72,1.15,1.15,20.66,0,0,0,0
 60-70,0,0,0,0.98,0,0,37.3,0,0,0,0,0,0,7.85,0,2.94,0,0,0,165.88,0,3.93,10.8,26.5,0,0,0.98,0
 72-82,0,0,0,0.98,0.98,0,73.62,0,0.98,5.89,0,0,0.98,5.89,0,4.91,0,0,0,168.85,0,4.91,12.76,11.78,0,0,0,0
 84-94,0,0,0,7.43,0,0,50.98,0,0,8.5,0,1.06,1.06,13.81,1.06,11.68,0,1.06,1.06,73.28,0,6.37,33.99,11.68,1.06,0,0,0
 96-106,0,0,0,9.84,0,1.09,53.55,0,0,6.56,1.09,2.19,2.19,14.21,0,5.46,0,0,0,80.87,1.09,8.74,31.69,2.19,2.19,0,0,0
108-118,0,0,0,7.66,0,0,32.17,1.53,0,4.6,0,0.77,0.77,16.85,1.53,7.66,0,0,1.53,64.34,3.06,7.66,16.85,2.3,0,0,0,0.77
120,0,0,0,5.88,0,0,33.32,3.92,0,1.96,1.96,1.96,1.96,15.68,0,5.88,0,0,1.96,90.15,5.88,5.88,29.4,3.92,0,1.96,0,0
