stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,7,110,23,0,59,0,1,0,18,8,13,2,1,5,0,0,1,0,41,1,0,33,529,17,2,8,18,0,16,4,112,3,13,213,166,0,0,2,0,1
 24-34,0,1.64,6.57,55.82,30.37,0,123.13,1.64,3.28,3.28,10.67,2.46,0.82,3.28,0,22.16,0,3.28,3.28,3.28,76.34,4.1,0.82,52.53,728.1,7.39,14.78,9.03,0.82,0,37.76,0,1.64,3.28,2.46,62.39,168.28,0,0,9.85,0,3.28
 36-46,0,0.81,0.81,13.7,1.61,0,126.49,1.61,0,2.42,21.75,0.81,0,4.03,0,2.42,0,3.22,0.81,0,58.81,1.61,0.81,22.56,534.96,4.03,8.86,5.64,0,0,24.17,0,0,2.42,1.61,2.42,116.02,0,0,4.83,0,1.61
 48-58,0.57,0,0,16.64,7.46,0,249.03,9.75,1.15,7.46,44.76,2.87,1.15,2.87,1.15,4.02,1.72,1.72,1.72,1.72,94.68,2.3,1.72,22.95,517.57,3.44,5.16,4.59,0,0,13.2,0.57,0,1.15,2.87,0,120.5,0,0.57,6.89,0,3.44
 60-70,0.98,0.98,0,15.7,13.74,0,372.98,3.93,3.93,3.93,58.89,2.94,1.96,0.98,2.94,5.89,0,0.98,4.91,0.98,138.39,3.93,4.91,19.63,502.54,0,4.91,2.94,0,0,26.5,0,0,2.94,4.91,0,98.15,0,0,3.93,1.96,0.98
 72-82,0,2.94,0,24.54,51.05,2.94,348.49,3.93,2.94,11.78,76.57,9.82,0.98,4.91,2.94,6.87,2.94,7.85,15.71,1.96,239.53,9.82,7.85,32.39,505.56,1.96,12.76,5.89,0,0.98,45.16,0,0,1.96,0.98,0,78.53,4.91,8.83,14.72,4.91,0.98
 84-94,1.06,8.5,0,45.67,50.98,2.12,235.77,5.31,8.5,14.87,57.35,18.05,3.19,4.25,13.81,9.56,6.37,4.25,13.81,2.12,157.18,2.12,7.43,24.43,246.39,4.25,7.43,5.31,0,2.12,147.62,0,0,3.19,2.12,0,31.86,6.37,5.31,10.62,2.12,5.31
 96-106,0,4.37,0,64.48,51.36,6.56,213.11,1.09,6.56,7.65,65.57,25.14,1.09,2.19,16.39,14.21,2.19,8.74,10.93,1.09,196.71,5.46,7.65,33.88,260.1,10.93,16.39,8.74,0,3.28,123.49,0,0,5.46,3.28,0,17.49,9.84,5.46,15.3,6.56,5.46
108-118,0,3.06,0.77,74.3,46.72,7.66,142.47,6.13,14.55,6.89,53.62,23.74,0,3.06,26.04,16.09,8.43,6.89,21.45,0.77,160.09,3.06,3.06,36.77,317.87,7.66,8.43,9.19,0,3.06,119.49,1.53,0,5.36,0.77,0,16.85,7.66,2.3,13.79,4.6,5.36
120,0,5.88,0,99.95,52.91,1.96,160.7,5.88,17.64,3.92,64.67,13.72,0,3.92,15.68,7.84,3.92,3.92,17.64,0,129.35,1.96,5.88,35.28,290.05,3.92,5.88,11.76,0,1.96,127.39,0,0,1.96,0,0,15.68,3.92,0,13.72,3.92,3.92
