stage,blastomeres,endoderm,epidermis,eye,fast.muscle,glial,hatching.gland,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,2.63,0,0,0,34.17,0,7.89,0,0,0,0,0,0
 10-12,9.44,3.15,0,3.15,0,0,0,0,0,0,50.35,0,37.76,0,0,3.15,3.15,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1,0,4,0,0
 24-34,0,0,1.64,0,0,0,0,0,0.82,0.82,2.46,0.82,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,4.03,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,1.72,0,1.15,0,0,1.15,0,6.31,0,0,0.57,0,0,0,1.72,0.57
 60-70,0,0,0,0,0.98,0.98,0,0,3.93,0.98,6.87,0,0,0,0,0,0,0,0
 72-82,0,0,0,4.91,0,2.94,0,0,1.96,0,6.87,0,0,0,0,0,0,2.94,0
 84-94,0,0,0,2.12,0,0,0,1.06,1.06,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,1.09,1.09,0,0,0,0,2.19,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96
