stage,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,3.15,0,0,0,0
 14-21,1,7,1,0,0,0,1,0,0,0,0,1,8,0,0,0,0,1,3,0,3,2,0,0
 24-34,0,0.82,0,0,0.82,0,0,0,0,0.82,0,0,9.85,0,0,0.82,0,4.1,0,0,0,3.28,0,0.82
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,0,5.64,0,0,0,0,4.03,0,0,0,0,0,0
 48-58,0,0.57,0,0,1.15,0,0,0.57,0,2.3,0,0,8.03,0,0,0,0,0.57,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,0,0,0,3.93,0.98,0,1.96,0,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,5.89,0,0,0,0.98,0,3.93,0,0,3.93,0,0,0.98,0,0,0,0,0,0.98,0,0
 84-94,0,1.06,0,2.12,1.06,0,0,0,0,1.06,0,0,1.06,0,1.06,0,0,6.37,0,0,0,0,0,0
 96-106,0,0,0,3.28,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0.77,0,0.77,0.77,0.77,0,0,0.77,0.77,0,0,3.06,0,0,0,0,1.53,0,0,0,0,0.77,0
120,0,0,0,0,1.96,0,0,0,0,1.96,0,0,3.92,1.96,0,0,0,1.96,0,0,0,0,0,1.96
