stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,pericytes,periderm,spinal.cord,vasculature,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,33.66,0,0,0,3.28,0,0.82,0,0,0,0,0.82,0,0
 36-46,0,0,0.81,0,0,0,0,9.67,0,0,0,2.42,0,6.45,0,0,0,0.81,0.81,0.81,0
 48-58,0.57,0,0.57,0,0,0,0,5.74,0,0.57,1.15,0,0,2.3,0,0,0,0,0,0,0
 60-70,3.93,0,0.98,0.98,0,0,0,10.8,0,0,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,1.96,0,1.96,0.98,0.98,0,0.98,21.6,0,0,1.96,0,0,2.94,0,0,0,0,0,0,0.98
 84-94,4.25,0,1.06,1.06,0,1.06,0,52.04,0,0,0,1.06,0,2.12,1.06,0,0,0,0,0,0
 96-106,4.37,1.09,1.09,0,0,1.09,1.09,50.27,1.09,0,2.19,2.19,0,2.19,1.09,0,1.09,1.09,0,0,0
108-118,6.13,0,0,0,0.77,0.77,0,44.43,0,0,0,2.3,0.77,0.77,0,1.53,0,0,0,0,0
120,15.68,0,0,0,0,0,0,23.52,0,0,1.96,1.96,1.96,3.92,0,0,0,0,0,0,0
