stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0.82,1.64,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,1.61,0,0,0.81,0,0,0,0,0,0,0.81,0,0,0,25.78,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0
 48-58,0,0,0.57,0,0,16.07,0,1.15,0,0,0,0,0,0,0,0,0,0,1.15,48.2,0,0.57,0.57,0,0,0,0,3.44,0,0,0,0,0
 60-70,0,0,0.98,0,0,369.05,0.98,0,2.94,0,0.98,0,0,0,0,6.87,0,0.98,1.96,123.67,0,0.98,0.98,0,0,0,0,2.94,0,0,0,0,0.98
 72-82,0,0,5.89,1.96,0,790.24,0.98,0.98,35.34,0.98,0,0,0.98,0,0.98,15.71,0,0,0.98,204.19,0,0,1.96,0,0.98,0,0,0.98,0.98,0.98,0,0.98,0
 84-94,0,0,9.56,1.06,0,483.23,1.06,1.06,29.74,1.06,2.12,0,0,0,0,9.56,0,0,1.06,141.25,0,0,2.12,0,0,1.06,2.12,2.12,1.06,2.12,0,0,0
 96-106,0,1.09,10.93,3.28,1.09,595.6,3.28,0,32.79,2.19,2.19,0,1.09,0,1.09,12.02,2.19,1.09,0,138.79,1.09,2.19,3.28,0,1.09,3.28,0,1.09,1.09,0,3.28,0,2.19
108-118,0,0,5.36,0,0.77,382.22,0,0.77,22.21,2.3,1.53,0.77,0.77,0.77,0.77,13.02,0,1.53,3.83,114.89,0.77,0.77,1.53,0,0,2.3,1.53,0.77,0.77,0,0,1.53,0
120,0,0,1.96,3.92,0,268.49,1.96,0,17.64,3.92,0,0,0,0,1.96,5.88,0,0,3.92,162.66,0,0,1.96,0,0,0,7.84,0,1.96,0,0,0,0
