stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,1,5,0,0,1,0,0,2,0,0,0,12,0,0,0,0,0,2,0,5,0,1,0,0,1,0,0,3,0,0,0
 24-34,0,0,4.1,0,0,1.64,0,0.82,0,0,0,0,8.21,0,0,0,0.82,0.82,0.82,0.82,19.7,0,0,0,0,0,0,0.82,4.93,0,0,0
 36-46,0,0,0,0,0,3.22,0.81,0,0,0,0.81,0,0,0,0,0,0,0.81,0,0,44.31,1.61,0,0.81,0,0,0,0,10.47,0,0,0.81
 48-58,0,0,0.57,0,0,2.3,0,0,1.15,0,0,0,0.57,0,0,0,0,2.87,0,0.57,37.87,0.57,0,0,0,0,0.57,0,8.61,0,0,0.57
 60-70,0,0,0.98,0,0,5.89,0.98,0,3.93,0.98,0,0,0.98,0,0,0,0,3.93,0,0.98,46.13,0,0,0,0.98,0,0,0,8.83,0,0,0
 72-82,0,0,0.98,0,0,7.85,0,0,3.93,14.72,0,0,2.94,0,0,0,0,1.96,0.98,0,31.41,1.96,0,0,0,0,0,0,4.91,0,0,0.98
 84-94,0,0,3.19,0,1.06,9.56,0,0,8.5,23.36,0,0,4.25,2.12,0,0,0,7.43,0,1.06,12.74,0,0,0,1.06,0,0,0,3.19,2.12,0,0
 96-106,0,0,7.65,0,1.09,4.37,1.09,1.09,1.09,90.71,0,0,3.28,0,2.19,1.09,0,4.37,1.09,1.09,20.76,0,0,0,2.19,0,0,0,2.19,2.19,1.09,2.19
108-118,0,0,5.36,0.77,6.89,3.06,0.77,0,0.77,121.02,0,0.77,0,0,0,0,0,2.3,3.06,0,9.19,0,0,0.77,1.53,0,0,0,0.77,6.89,0,0
120,0,0,1.96,0,0,1.96,0,0,0,56.83,0,0,0,0,0,0,0,3.92,3.92,0,17.64,0,0,0,0,0,1.96,0,1.96,3.92,0,0
