stage,epidermis,eye,fin.mesenchyme,glial,gut,immune,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.46,0,0,0,1.64,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0.57,0,0.57,0,0,0,0,0.57,1.15,0,0,0,0,0,1.15,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0.98,0,0,0,0.98,7.85,0,3.93,0,0,0,0,0,0,0.98,5.89
 84-94,0,2.12,0,0,0,1.06,1.06,7.43,0,1.06,0,0,0,0,0,0,0,9.56
 96-106,0,1.09,0,0,1.09,8.74,1.09,9.84,0,2.19,0,0,0,0,0,0,0,13.11
108-118,0,1.53,0,0,0,10.72,0.77,7.66,0,0,0,0.77,0,0,0,0,0,6.13
120,1.96,1.96,0,0,0,11.76,1.96,9.8,0,1.96,0,0,0,0,0,0,0,5.88
