stage,blastomeres,epidermis,eye,glial,immune,ionocyte,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,18.88,0,6.29,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0
 24-34,0,0,0.82,0,0,0.82,0.82,1.64,3.28,0,0,0,0,0,0
 36-46,0,0,2.42,0,0,0,1.61,0,6.45,0,0,0.81,0,2.42,0
 48-58,0,0,1.15,0,0,0,1.72,0,3.44,0,0,0,0,0,0
 60-70,0,0.98,3.93,0,0,0,0,0,2.94,0,0,0,0,0.98,0
 72-82,0,0,4.91,1.96,0,0,0,0,1.96,0.98,0,0,0,0,0
 84-94,0,0,3.19,2.12,0,0,2.12,0,0,0,0,0,0,0,1.06
 96-106,0,0,1.09,1.09,1.09,0,2.19,0,0,0,0,0,0,0,1.09
108-118,0,0.77,0,0,0,0,0.77,0,0,0,0,0,0,0,0.77
120,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0
