stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,55,32,2,0,0,0,1,0,0,1,0,0,0,0,0,57,0,0,21,28,0,0,2,0,1,0,3,1,6,0,0,25,0,0
 24-34,0,0,0,0.82,93.58,12.31,1.64,0,0,0,0,0,0,0,0,0,0,0,0,91.12,0.82,0,11.49,54.18,0,0.82,0,0,0,0,0,0,7.39,0,0,100.14,0,0
 36-46,0,0,0,0,61.23,4.83,1.61,0,0.81,0,0,0.81,0,0,0,0,0,0,0,73.32,0,0,33.84,20.14,1.61,0,0,0,0,0,0,0,0.81,0,0,53.98,0,0
 48-58,0,0,0,0,49.92,0.57,2.3,0.57,0,0,2.3,0,0,0,0,0.57,0.57,0.57,0.57,108.45,0,0.57,32.13,26.4,0,0,1.15,0,1.15,0.57,0,0,4.02,0,0,65.41,0,0.57
 60-70,0,0,0,0,48.09,0,3.93,1.96,0.98,0,0.98,0,0.98,0,0,0,0,0,0,126.62,0.98,0.98,20.61,20.61,0,0,0,0.98,0,0,0,0,2.94,0,0,47.11,0,0.98
 72-82,0,0,0.98,0,80.5,1.96,12.76,2.94,0,0.98,4.91,0,0,0,0,0,0,0,0,174.74,0,1.96,31.41,31.41,0,0,2.94,1.96,0,0,0,0,1.96,0.98,1.96,100.13,0.98,0.98
 84-94,1.06,0,0,0,122.13,0,16.99,4.25,0,0,1.06,1.06,0,1.06,1.06,0,0,0,0,118.95,0,1.06,14.87,11.68,0,0,2.12,0,0,0,0,0,2.12,1.06,0,90.27,4.25,0
 96-106,0,0,0,0,182.51,1.09,13.11,3.28,0,1.09,4.37,1.09,0,3.28,10.93,1.09,2.19,0,0,135.51,0,0,19.67,25.14,0,0,1.09,3.28,3.28,0,1.09,0,0,2.19,0,111.47,5.46,7.65
108-118,1.53,0,0,0,162.38,3.06,6.13,1.53,0.77,0,3.83,2.3,0,0.77,16.85,0.77,0.77,0,0,104.17,0,0.77,10.72,16.09,0,0,2.3,4.6,0.77,0,0.77,0,0,0.77,0.77,71.23,0.77,0
120,1.96,0,0,0,94.07,0,7.84,3.92,0,0,1.96,0,0,1.96,3.92,0,0,0,0,84.27,0,0,9.8,11.76,0,0,1.96,3.92,0,0,0,0,0,0,0,56.83,0,1.96
