stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pronephros,spinal_cord,taste,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,2,0,0,0,2,0,0,0,24,1,1,0,8,2,0,1
 24-34,0,0,0,0,0.82,0.82,1.64,0,0,0,0,0,0,6.57,7.39,1.64,0,9.85,5.75,0,4.93
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83,10.47,0.81,0,6.45,2.42,0,1.61
 48-58,0,0,0,0,0.57,1.15,2.87,0.57,0.57,0,0,0.57,0,3.44,8.61,1.72,0,2.3,2.3,0,0
 60-70,0,0,0,0,0.98,0,1.96,0,0,0,0,0.98,0.98,4.91,11.78,4.91,0,0,1.96,0,2.94
 72-82,0,0.98,0,0,1.96,0,1.96,0,0.98,0.98,0,1.96,0,6.87,14.72,6.87,0,1.96,0.98,0,3.93
 84-94,0,0,0,0,1.06,1.06,1.06,0,1.06,1.06,0,0,0,6.37,7.43,11.68,0,5.31,0,1.06,1.06
 96-106,0,0,0,0,1.09,2.19,1.09,0,5.46,1.09,1.09,1.09,0,4.37,22.95,16.39,0,2.19,3.28,0,3.28
108-118,0,0,0.77,0.77,0,0,1.53,0,4.6,6.89,0,0,0,5.36,15.32,17.62,0,2.3,0,0,1.53
120,0,0,1.96,0,0,0,1.96,0,1.96,7.84,0,1.96,0,1.96,13.72,11.76,0,5.88,0,0,0
