stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,4,0,1,0,0,0,0
 24-34,0,0,9.85,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0,1.64,0,0,0,13.95,0,0.82,3.28,26.27,3.28,1.64,0,0,0,0
 36-46,0,0,16.92,0,0.81,0.81,1.61,0,1.61,0,0,0,0,0,0,0.81,2.42,0,0,0.81,14.5,0,1.61,1.61,45.92,0.81,4.83,0,0,0,0
 48-58,0,0,11.48,0,6.31,0,4.59,0,2.87,0.57,0,0,0.57,1.15,0,0,5.74,0,0.57,0,20.66,0,2.3,1.15,19.51,0,7.46,0,0,0,0.57
 60-70,0,0,24.54,0,9.82,0,2.94,0,0.98,0.98,0,0,0,0,0,0.98,5.89,0,0,0,19.63,0,2.94,0,30.43,0,1.96,0,0,0,0
 72-82,3.93,0,13.74,0,12.76,0,2.94,0,3.93,7.85,0.98,0,0,0,0.98,0,8.83,0.98,1.96,0,34.36,0,3.93,0.98,19.63,1.96,0.98,0,0,0,0
 84-94,4.25,0,32.92,0,5.31,0,7.43,1.06,2.12,6.37,0,0,0,0,1.06,0,5.31,0,0,2.12,21.24,0,2.12,1.06,47.79,1.06,0,2.12,2.12,0,0
 96-106,5.46,0,22.95,0,4.37,0,4.37,0,5.46,19.67,0,1.09,0,0,0,0,5.46,1.09,0,0,16.39,0,3.28,1.09,40.44,1.09,0,0,4.37,1.09,0
108-118,1.53,0.77,31.4,0.77,3.06,0,7.66,0,5.36,15.32,0,0,0,0,0,0,6.13,0.77,0,0,11.49,0.77,2.3,0,22.21,2.3,0,0,0,0,0
120,3.92,0,45.08,1.96,1.96,0,3.92,0,1.96,13.72,0,1.96,0,0,0,0,1.96,1.96,1.96,0,17.64,0,1.96,1.96,41.16,0,0,0,0,0,0
