stage,blastomeres,epidermis,eye,glial,gut,heart,mesenchyme,mural.cell,muscle,neural,otic,periderm,spinal.cord,vascular.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,14.78,0,0,5.75,0
 36-46,0,0,0.81,0,0,0,0.81,0,0,62.04,0,0,16.92,0
 48-58,0,0,2.3,1.15,0,0,0.57,0,0,90.09,0.57,0,14.35,0
 60-70,0,0,8.83,0,0,0,0,0,0,123.67,0,0,17.67,0
 72-82,0,1.96,17.67,3.93,0,0.98,2.94,0.98,0.98,143.32,0,1.96,12.76,0.98
 84-94,0,1.06,14.87,0,0,0,3.19,1.06,0,76.47,0,1.06,8.5,0
 96-106,0,1.09,6.56,1.09,0,0,3.28,0,0,54.64,0,0,2.19,0
108-118,0,0.77,3.83,1.53,0.77,0,0.77,2.3,0,46.72,0,0,0.77,0
120,0,0,1.96,1.96,0,0,0,0,0,54.87,0,0,1.96,1.96
