stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,13.14,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,89.38,2.63,0,0,15.77,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,113.29,0,0,0,25.18,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,5,1,3,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,4,69,1,0,2,0,0,2,0,1,0,0,5,20,0,0,0,0,0
 24-34,0,0,0.82,0,3.28,0,9.03,0,0,0.82,4.1,0,0,1.64,0,0,0,0,0,8.21,0,0,3.28,128.05,0,1.64,2.46,0,0,0.82,0,0,0,0,0.82,40.22,0,0,1.64,0,0
 36-46,0,0,0,0,4.83,0,32.23,0,0,0,6.45,0,0,0,0,0.81,0,0,0,16.92,0,0,2.42,179.66,1.61,0.81,0.81,0,0,0,0,0,0,0,0,54.79,0,0,2.42,0,0.81
 48-58,0,0,0,0,0.57,0,67.14,0,1.15,0,9.75,0,0,0.57,0,0,0.57,0,0.57,17.79,0.57,1.15,2.87,139.43,0,1.15,1.15,0,0,0,0,0,0,0,0,48.2,0,0,0,0,0
 60-70,0,0,0,0,4.91,0,83.43,0,0.98,0.98,15.7,0,0,0,0.98,0.98,0,0,0,29.45,0.98,1.96,2.94,178.64,0,2.94,0,0,0,0.98,0,0,0,0.98,0,37.3,0,0,0.98,0,0
 72-82,0,0,0,0,2.94,0.98,73.62,0,0.98,1.96,26.5,0,0,0,0.98,0,1.96,0.98,0,32.39,0,0.98,1.96,107,0,2.94,1.96,0,0,0,0,0,0,0,0,16.69,0,0.98,3.93,0,0
 84-94,0,0,0,0,7.43,0,48.85,0,1.06,0,13.81,4.25,0,2.12,3.19,1.06,2.12,0,1.06,18.05,0,3.19,1.06,77.53,0,2.12,1.06,0,0,3.19,0,0,0,0,0,14.87,1.06,0,5.31,0,1.06
 96-106,0,0,0,0,4.37,3.28,39.34,1.09,0,1.09,17.49,4.37,0,0,0,1.09,2.19,0,1.09,21.86,1.09,3.28,3.28,57.92,1.09,4.37,2.19,0,1.09,5.46,0,0,1.09,0,0,2.19,0,1.09,4.37,2.19,0
108-118,0,0,0,0,4.6,0,38.3,0,2.3,0,16.85,0.77,0,0,1.53,0,1.53,0.77,0,13.79,0,1.53,0,83.49,0.77,2.3,0.77,0,0,3.06,0,0,0,0,0,7.66,0,0,6.13,3.06,0
120,0,0,0,0,3.92,0,27.44,0,1.96,1.96,5.88,0,0,0,1.96,0,1.96,0,0,17.64,1.96,0,3.92,80.35,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,3.92,1.96,0
