stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,105.42,1146.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,643.61,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0
  7-9,2.63,2.63,0,0,10.51,0,0,0,0,0,55.2,2.63,0,13.14,2.63,0,0,0,0,0
 10-12,0,3.15,3.15,0,6.29,0,0,0,0,0,44.06,0,0,15.73,0,0,0,0,0,0
 14-21,0,0,1,4,2,0,0,0,2,0,18,2,0,1,0,6,1,2,9,0
 24-34,0,0,0,0,1.64,0,0,0,2.46,0.82,24.63,0,0,0,0,0,0,0.82,2.46,0
 36-46,0,0,0.81,0,1.61,0.81,0,0,1.61,1.61,15.31,0,0,0,0,0,0,0,7.25,0
 48-58,0,0,0,0,1.72,0.57,0,0,0.57,0,3.44,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,3.93,2.94,0,0,1.96,0,1.96,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,7.85,0,0,1.96,0,2.94,0,0,0,0,0,0,0,2.94,0
 84-94,0,0,0,1.06,1.06,1.06,0,0,2.12,0,1.06,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.53,0.77,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,1.96,0,0,1.96,0,0,0,0,0,0,0,1.96,0
