stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,lateral.line,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,12.26,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,9.44,0,0,3.15,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,13,0,1,0,3,0,6,0,0
 24-34,0,0,0,0,0.82,6.57,0,0,0.82,0,0,0,0,2.46,2.46,54.18,0,0,0.82,0,0.82,9.03,0,0
 36-46,0,0,0,0,0.81,7.25,0,0,0,0,0,0,0,4.03,0,24.98,0,0,0,0,0,5.64,0,0
 48-58,0,0,0,1.72,0,10.33,0,0,1.15,0.57,0,0,0,5.16,0,14.92,0.57,0,0,0,0,3.44,0,0
 60-70,0,0,0,4.91,0,5.89,0.98,0,0,0,0,0.98,0,3.93,0,10.8,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0.98,0,2.94,0.98,0.98,0.98,0,0,0,0,6.87,1.96,13.74,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,0,0,5.31,2.12,5.31,0,0,0,0,0,2.12,0,1.06
 96-106,0,0,0,1.09,0,2.19,0,0,0,0,0,0,1.09,0,0,3.28,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,1.53,0,0,0,0,0.77,0,0,0.77,0,3.83,0.77,0,0.77,0,0.77,0,0,0.77
120,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,3.92,1.96,19.6,0,0,0,0,0,1.96,0,0
