stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,1,4,9,1,0,16,0,0,2,1,3,0,0,0,0,0,4,0,1,110,2,0,2,2,2,0,2,1,3,31,0,0,1,0
 24-34,0,0.82,5.75,0,0,15.6,0,0.82,1.64,3.28,0,0,0,0,0,0.82,2.46,0,3.28,105.07,0.82,0.82,0.82,0,0.82,0,0,0,0,18.88,0,0,0.82,0
 36-46,0,0,1.61,0.81,0,18.53,0.81,0,6.45,0,0,0,0,0,0,0,2.42,0,1.61,53.98,0,0,0.81,0,1.61,0,0,0,0,16.11,0,0,0,0
 48-58,0.57,0,1.15,0,0,14.92,0,0,6.31,0,0,0.57,0,0,0,0.57,10.9,0,2.87,33.28,0,0,0.57,0,0.57,0,0,0,0,10.33,0,0,0,0
 60-70,0,0,0,0,0,37.3,0,0.98,12.76,0.98,0,0,0,0,0.98,0.98,5.89,0,0.98,39.26,0,0,1.96,0,1.96,0,0.98,0,0,1.96,0,0,0,0
 72-82,0,0,4.91,0,0,86.39,1.96,0.98,18.65,0.98,0,0,0.98,0,1.96,0,21.6,0.98,2.94,47.12,0,0.98,0,0,3.93,0,0,0,0,1.96,0.98,0,0,0
 84-94,0,0,8.5,0,0,100.89,1.06,0,13.81,2.12,0,0,2.12,1.06,1.06,1.06,4.25,1.06,1.06,31.86,0,1.06,0,0,6.37,0,0,1.06,0,2.12,2.12,1.06,0,1.06
 96-106,0,0,9.84,1.09,1.09,112.56,2.19,0,8.74,0,0,0,2.19,2.19,0,0,8.74,0,1.09,27.32,0,3.28,5.46,0,5.46,0,0,0,0,4.37,0,0,1.09,0
108-118,0.77,0,5.36,0,1.53,94.21,2.3,0,19.15,3.83,0,0,1.53,0,1.53,0,9.96,0,3.06,51.32,0.77,1.53,0.77,0,4.6,0,0,0,0,0.77,0,0,0.77,0
120,0,0,13.72,0,0,141.1,3.92,0,11.76,1.96,0,0,3.92,0,0,0,1.96,0,1.96,47.03,0,0,0,0,3.92,1.96,0,0,0,0,0,0,0,0
