stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,glial,gut,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,otic,periderm,somites,spinal.cord,taste,vasculature,xanthophores
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0.82,1.64,0.82,0,0,0.82,0,0,2.46,0
 36-46,0,0,0,0,0,2.42,0,0,0,2.42,0,3.22,0,0,0,0,4.03,0,2.42,0
 48-58,0,0,0,0,0,1.72,0,0,0.57,3.44,0,1.72,0,0,0,0,1.72,0,2.3,0
 60-70,0,0,0,0.98,1.96,9.82,0,0,0,3.93,0.98,0,0,0,0,0,0.98,0,2.94,0
 72-82,0,0,0,0,1.96,2.94,0,0,0.98,2.94,0,0.98,0,2.94,0,0,0,0.98,1.96,0
 84-94,0,0,0,0,3.19,6.37,2.12,0,1.06,1.06,0,3.19,0,1.06,0,0,0,0,3.19,1.06
 96-106,0,0,1.09,0,0,3.28,0,0,1.09,0,0,2.19,0,1.09,1.09,0,1.09,1.09,3.28,1.09
108-118,0,0,0,0,0.77,0.77,0.77,0.77,0,0,0,0.77,0,3.06,0,0,0,0.77,3.83,0
120,0,0,0,0,0,1.96,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0
