stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,15.73,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,1,1,1,4,1,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0.82,0,0,0.82,0.82,0.82,0,2.46,0,3.28,0,0,0.82,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,2.42,0,0,4.03,0,0,0.81,0,4.83,0,0.81,1.61,0,0
 48-58,0,0,0.57,0,0,0.57,0,0.57,0,0,2.87,0,0.57,4.59,0,0,3.44,0,5.16,0,0.57,7.46,0,0
 60-70,0,0,0,0,0,2.94,0,0,0.98,0,13.74,0,0.98,8.83,0,0,1.96,0,6.87,0,0.98,12.76,0,0
 72-82,0,0,0.98,0,0,1.96,0,0,0,0,37.3,0,0,6.87,0,0,0.98,0,44.17,0,0.98,31.41,0,0.98
 84-94,0,0,0,0,0,3.19,0,0,0,0,20.18,2.12,0,1.06,0,0,1.06,0,94.52,0,0,15.93,1.06,0
 96-106,0,0,1.09,2.19,0,0,0,3.28,0,0,38.25,0,1.09,4.37,1.09,0,1.09,0,116.93,0,0,36.06,0,0
108-118,0,0,0,0.77,0.77,2.3,0.77,0.77,0.77,0.77,36,2.3,0.77,3.83,0,0,1.53,0,121.02,0,0,25.28,0,0
120,0,0,1.96,0,0,1.96,0,0,0,0,43.12,0,1.96,7.84,1.96,0,1.96,0,92.11,0,1.96,17.64,0,0
