stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,0,13.14,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,60.46,2.63,0,0,15.77,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,31.47,0,0,0,0,0,0,0,0,138.47,0,0,0,31.47,0,12.59,3.15,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,40,1,0,4,0,0,0,0,0,0,0,2,0,0,3,0,0,1,30,0,0,0,0,0,22,1,6,0,3,3,0,0,0,0,0
 24-34,0,0,0,22.16,0,0,8.21,0,7.39,2.46,0.82,0,0,0,0,3.28,0,8.21,0,0,4.93,27.91,0.82,4.93,0,0,0,72.24,0,0,0,5.75,6.57,0,0,1.64,0,0
 36-46,0,0,0,13.7,0,0,24.98,0,3.22,0.81,1.61,0,0,0,0,3.22,0,8.06,0,0,1.61,23.36,4.03,4.03,0.81,0,0,58.81,0,0,0,0,5.64,0,0,2.42,0,0
 48-58,0,0,0,17.21,0,0,20.08,0,5.74,1.15,2.3,0,0,0,0,0.57,0.57,12.62,0.57,1.15,1.15,17.79,2.3,0.57,1.15,0,0,44.18,0,0,0,0,1.15,0,0,1.72,0,0
 60-70,0,0,0,36.32,0,0,13.74,0,10.8,0,3.93,0.98,0,0,0.98,1.96,0,15.7,0,0.98,0,12.76,0,2.94,0,0,0,52.02,0,0,0,0,3.93,0,0,0.98,0,0
 72-82,0,0,0,55.95,0.98,0,19.63,0,2.94,0.98,4.91,3.93,0,0,1.96,8.83,0.98,21.6,0.98,0.98,1.96,18.65,4.91,2.94,1.96,0,0,57.92,0,0,0,0,1.96,1.96,0,3.93,0,3.93
 84-94,0,0,0,69.03,0,0,6.37,1.06,21.24,1.06,5.31,8.5,0,0,5.31,5.31,0,20.18,1.06,1.06,2.12,13.81,5.31,14.87,3.19,0,0,184.79,0,0,0,0,0,11.68,2.12,2.12,0,1.06
 96-106,0,0,0,132.23,1.09,0,7.65,0,16.39,1.09,2.19,22.95,0,0,2.19,7.65,0,18.58,2.19,1.09,0,19.67,7.65,12.02,2.19,0,2.19,154.09,0,0,0,0,1.09,14.21,0,7.65,2.19,8.74
108-118,0,0,0,121.79,0,0.77,5.36,0,26.04,0.77,3.83,6.13,0,2.3,6.13,8.43,0,16.85,4.6,0.77,3.06,21.45,1.53,12.26,1.53,0,0.77,219.83,0,0,1.53,0,0.77,26.04,0.77,6.13,2.3,8.43
120,0,0,0,94.07,0,0,9.8,0,15.68,0,0,0,0,0,3.92,3.92,0,9.8,5.88,0,1.96,23.52,9.8,5.88,0,0,1.96,105.83,0,0,0,0,0,9.8,0,1.96,0,3.92
