stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle
 14-21,1,0,1,0,0,1,1,0,0,0,0,0,0,1,4,0,0,0,0,0,1,2,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0.82,4.1,0.82,0,0,0,0,0,2.46,0
 36-46,0,0,1.61,0.81,0,2.42,0,0,0,0,0,0,0.81,0,7.25,0,0,0,0,0,0,4.83,0
 48-58,0,0,3.44,0,0,7.46,0,0,0,0,0.57,1.15,0,0,9.18,2.87,0,0,0,0,0,4.02,0
 60-70,0,0,0.98,0,0,5.89,0,0,0,0.98,0,0,0,0,1.96,0.98,0,0,0,0.98,0,3.93,0
 72-82,0,0,4.91,0,0.98,2.94,0,0,0,0,0,0,0,0,2.94,2.94,0,0.98,0.98,1.96,0,4.91,0.98
 84-94,0,0,2.12,0,0,3.19,0,0,1.06,0,0,1.06,0,1.06,4.25,1.06,1.06,0,0,1.06,0,3.19,0
 96-106,1.09,1.09,0,0,0,1.09,0,0,0,0,0,0,0,1.09,3.28,1.09,0,0,0,0,0,2.19,0
108-118,0,0.77,1.53,0,0,2.3,0,0,0,0,0,0.77,0,0,0.77,0,0,0,0.77,0.77,0,2.3,0
120,0,0,1.96,0,0,3.92,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,1.96,0,5.88,0
