stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,18.88,0,0,0,0,22.03,0,6.29,0,0,0,0,0,0,0,0
 14-21,1,0,2,7,7,0,4,0,0,0,0,3,0,0,0,1,0,0,2,2,1,5,0,0,13,2,0,0,0,526,1,0,0,3,6,0,0,1,0,26
 24-34,0,0,0.82,15.6,13.95,0,13.95,0,4.93,0,1.64,2.46,0.82,1.64,1.64,4.1,4.1,0,17.24,9.85,16.42,24.63,0.82,3.28,165.81,1.64,1.64,0,0,1542.39,0,0,0,2.46,27.91,0,0,3.28,0,201.93
 36-46,0,0.81,0,2.42,3.22,0,22.56,0,2.42,0.81,1.61,0.81,0,0.81,0.81,2.42,3.22,0,16.11,61.23,12.89,8.86,0,7.25,98.29,2.42,0.81,1.61,0,1011.11,0,0.81,0,0,16.92,0,0,2.42,0,283.6
 48-58,0,0,0,1.72,0.57,0,43.04,0,1.72,0.57,3.44,0.57,0,0,0.57,0.57,30.41,0,14.35,45.33,15.49,1.72,0,1.15,106.73,0.57,1.15,0,0,384.45,0,0,0,0,20.08,0,0,0.57,0,370.68
 60-70,0,0,0,0,1.96,0,31.41,0,1.96,0,0.98,0.98,0,0,0.98,0,93.24,0,26.5,31.41,11.78,2.94,0,0.98,55.95,0,0,0,0,143.3,0,0,0,0,3.93,0,0,0.98,0,372.98
 72-82,0,0,0,5.89,1.96,0,59.88,0,3.93,1.96,7.85,3.93,0,0,1.96,0,107.98,0,145.29,9.82,14.72,0.98,0.98,2.94,53.99,0,1.96,0,0,95.22,0,0,0,0,2.94,0,0.98,3.93,0,365.18
 84-94,0,0,0,7.43,2.12,0,80.71,2.12,4.25,0,5.31,1.06,0,0,1.06,1.06,140.19,0,460.92,13.81,19.12,4.25,1.06,2.12,42.48,0,1.06,1.06,0,236.83,0,0,0,0,3.19,0,2.12,2.12,1.06,243.21
 96-106,0,2.19,0,13.11,7.65,0,78.68,2.19,4.37,3.28,18.58,2.19,0,2.19,4.37,2.19,120.21,2.19,734.39,5.46,34.97,4.37,1.09,3.28,146.44,2.19,2.19,0,0,266.65,0,0,2.19,0,3.28,0,1.09,3.28,1.09,254.63
108-118,0,0,0,13.02,2.3,0.77,33.7,1.53,6.13,2.3,9.19,4.6,0,0.77,0.77,2.3,170.81,0,1419.33,6.89,26.04,5.36,2.3,5.36,112.6,0,2.3,1.53,0.77,242.81,0,0.77,0,0,0,0.77,0,1.53,0.77,236.68
120,0,0,0,3.92,1.96,0,21.56,0,0,0,5.88,3.92,0,0,0,0,111.71,0,703.56,0,11.76,3.92,0,0,50.95,0,1.96,1.96,0,199.9,0,0,0,0,0,0,0,1.96,0,101.91
