stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,34,0,0,0,0,0
 24-34,0.82,0,0,0,0,0,0,0,0,0.82,50.89,0.82,0.82,0,0,59.1,0,0,0,0,0
 36-46,0,0,1.61,0,0.81,0,0,0,0.81,0,132.13,0,0,0,0,107.96,0,0,0,0,0
 48-58,0.57,0.57,7.46,0,0,4.02,0,0,0.57,0,176.73,0,0,0,0,68.28,0,0,0,0,0
 60-70,0,0,27.48,0,0,1.96,0,0,0,0,284.64,0,0,0,0,47.11,0,0,0,0,1.96
 72-82,0.98,0,38.28,0,0,2.94,0,0,1.96,0,333.77,0,0,0,0,38.28,0,0,0,0,0
 84-94,3.19,0,35.05,0,0,6.37,0,0,1.06,0,182.67,0,0,0,0,25.49,1.06,2.12,1.06,0,0
 96-106,3.28,1.09,30.6,1.09,0,4.37,1.09,0,3.28,0,162.83,0,1.09,0,0,12.02,0,0,0,0,0
108-118,2.3,0,23.74,0,0,6.13,0,0.77,1.53,1.53,153.19,0,0.77,0,0,3.83,0,0,0,0,0
120,0,0,13.72,0,0,5.88,0,0,1.96,0,141.1,0,1.96,0,0,7.84,0,0,0,1.96,0
