stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,448.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,392.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,12.26,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,13.14,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,120.92,0,0,0,44.69,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,5,4,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,34,0,0,2,0,0,1,1,0,0,4,13,0,0,0,0,0
 24-34,0,0,0.82,0,2.46,0,0,13.13,0,0,0.82,0.82,0,0,0,0,0,0,0,0,0,4.93,0,0,4.93,92.76,0.82,4.93,1.64,0,0,3.28,0,0,0,1.64,25.45,0,0,1.64,0,0
 36-46,0,0,0,0,1.61,0.81,0,8.86,0,0,0,0.81,0.81,0,0.81,0,0,0,0,0,0,4.83,0,0.81,1.61,127.3,0,1.61,0.81,0,0,5.64,0,0,0,0,21.75,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,27.54,0,0,0,6.31,0.57,0,1.15,0,0,0,0,0,0.57,7.46,0,0.57,1.15,119.35,0,2.87,0.57,0,0,2.3,0,0,0,0,24.1,0,0,0.57,0,0.57
 60-70,0,0,0,0,1.96,0,0,49.08,0,0,0.98,12.76,0,0,0,0,0.98,0,0,0,0,14.72,0,0,2.94,190.42,0,3.93,0,0,0.98,1.96,0,0.98,0,0,16.69,0,0,0,0,1.96
 72-82,0,0,0,0,0,0,0,93.26,0,0,0.98,23.56,0,0,0.98,0,0.98,0,2.94,0,0,34.36,0,0.98,5.89,243.45,0,10.8,2.94,0,0.98,0.98,0,0.98,0,0,17.67,0.98,0.98,2.94,2.94,0
 84-94,0,0,0,0,3.19,2.12,0,47.79,1.06,0,1.06,12.74,1.06,0,0,3.19,1.06,2.12,0,0,0,14.87,0,0,3.19,86.03,1.06,3.19,2.12,0,0,10.62,0,1.06,0,0,9.56,0,3.19,2.12,1.06,0
 96-106,0,0,2.19,0,5.46,0,0,36.06,0,0,1.09,19.67,4.37,0,0,1.09,1.09,0,2.19,2.19,0,13.11,0,2.19,2.19,95.08,0,6.56,5.46,0,0,12.02,0,0,1.09,0,1.09,1.09,0,3.28,2.19,1.09
108-118,0,0,0,0,9.19,0.77,2.3,38.3,0.77,1.53,0,16.09,1.53,0,0.77,1.53,2.3,3.06,0,0,0.77,17.62,0.77,0.77,3.83,126.38,0,8.43,4.6,0,0.77,10.72,0,0,0,0,6.13,0.77,1.53,0.77,0.77,0.77
120,0,0,1.96,0,5.88,0,1.96,21.56,0,0,1.96,5.88,3.92,0,1.96,1.96,0,1.96,0,1.96,0,21.56,0,0,5.88,133.27,3.92,5.88,3.92,0,0,15.68,0,1.96,0,0,3.92,0,0,7.84,1.96,0
