stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,95,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,1.64,375.13,0,3.28,0,0,0,0,0,4.93,0,0,0,0,0,0.82,3.28,0,0,1.64,21.34,0.82,0,0,0,0.82,0,0,6.57,0,0.82,0,0.82
 36-46,0,0,0,240.9,0,0.81,0,0,0,0.81,0,1.61,0,0,0,0,0,0,1.61,0,0,0.81,4.83,0,0,0.81,0,0,0,0.81,3.22,0,0,0,0
 48-58,0,0,0,497.49,0,8.03,0.57,0,0,2.87,0,2.3,0,0,0,0,0,0,2.3,0,0,0,22.38,0,0.57,0,0,1.15,0,4.02,1.15,0,0.57,0,0
 60-70,0,0,0.98,246.36,0,5.89,2.94,0,0,0.98,0.98,1.96,1.96,0,0,0,0,0,0.98,0,0,0,6.87,0,0,0,0,0,0,2.94,0,0,0,0,0
 72-82,0,0,0.98,339.65,0,4.91,8.83,0.98,0,0.98,0,0.98,0,0.98,0.98,0,0,0,0.98,0,0,0.98,12.76,0,0,0,0,1.96,0,5.89,0.98,0.98,1.96,0,0
 84-94,0,0,1.06,288.87,0,3.19,21.24,0,0,4.25,0,2.12,1.06,2.12,3.19,0,0,0,2.12,0,0,1.06,6.37,0,0,0,0,1.06,1.06,30.8,0,0,2.12,0,0
 96-106,0,0,33.88,398.89,0,6.56,59.01,8.74,1.09,2.19,2.19,1.09,0,1.09,0,1.09,5.46,0,12.02,0,0,4.37,33.88,0,0,1.09,1.09,4.37,1.09,26.23,0,0,5.46,0,0
108-118,0,1.53,177.7,312.51,1.53,12.26,115.66,29.11,2.3,2.3,3.83,2.3,2.3,0.77,0,0,1.53,0.77,10.72,1.53,0.77,11.49,31.4,1.53,0,1.53,0.77,3.83,5.36,49.02,0.77,0,3.83,0.77,0.77
120,0,1.96,148.94,401.76,0,1.96,47.03,39.2,0,0,3.92,1.96,1.96,3.92,1.96,0,0,0,1.96,1.96,0,3.92,15.68,0,0,0,0,3.92,0,17.64,0,0,0,0,0
