stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,18.39,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,7.89,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,5,0,0,2,6,0,0,0,0,0,1,1,0,0,8,0,0,0,0
 24-34,0.82,0,0,0.82,0.82,0,0,2.46,0,2.46,0.82,0,0,0,0,0,4.93,0,0,3.28,25.45,0,1.64,0,0,0,0.82,0.82,0,0,13.95,0,0,0,0
 36-46,0,0,0.81,0,0.81,0,0,1.61,0,0.81,1.61,0,0,0,0,0,0.81,0,0,4.03,46.73,0,0.81,0,0,0,0,0,0,0,26.59,0,0.81,0,0
 48-58,0,0,0.57,0,1.15,0,0,14.35,0,0,1.15,0,0,0,0,0,12.05,0,0.57,0.57,90.66,0,0,0,0,0,1.15,0,0,0.57,28.12,0.57,0,0,0
 60-70,0,0,0,0,0.98,0,0,21.59,0.98,0,2.94,0,0,0,0,0,25.52,0,0,1.96,151.15,0,1.96,0,0,0,0,0,0,0,35.33,1.96,0,0,1.96
 72-82,0,0,7.85,0,1.96,0,0,49.08,0,0.98,5.89,6.87,0,0,0,0,41.23,0,0,0.98,213.02,0,0,0.98,0,0,0,0,0,0,37.3,1.96,0,1.96,0
 84-94,0,0,3.19,0,2.12,0,0,28.68,0,1.06,5.31,4.25,0,0,0,0,22.3,1.06,2.12,1.06,103.02,0,0,0,0,0,2.12,0,0,0,19.12,1.06,0,4.25,0
 96-106,0,0,6.56,0,4.37,1.09,0,22.95,0,0,3.28,6.56,0,0,1.09,2.19,28.41,0,0,1.09,87.43,0,1.09,1.09,0,1.09,1.09,0,0,0,7.65,2.19,0,1.09,1.09
108-118,0,0,6.89,0,1.53,0.77,0.77,27.57,0,0,3.06,4.6,0,0,0,0,18.38,0,0,6.13,104.17,0.77,0,0,0,0,0.77,0,0,0,7.66,0,0,0,0
120,0,0,3.92,0,1.96,0,0,11.76,0,0,0,3.92,0,1.96,0,0,5.88,0,0,0,84.27,0,0,0,0,0,1.96,0,1.96,0,9.8,0,0,0,0
