stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,988.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,422.94,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,18.4,0,5.26,0,0,0,73.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.64,10.51,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,3.15,0,59.79,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,462.6,3.15,0,0,34.62,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,20,9,0,69,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,306,1,2,0,1,0,2,0,0,0,5,78,0,0,0,0
 24-34,0,0,0,1.64,9.85,1.64,0,128.87,0,0,0,4.1,0,0,0.82,0,0.82,4.1,2.46,0.82,8.21,0,0,0.82,344.76,0.82,9.03,3.28,0.82,0,0.82,0,0,0,0,45.15,0,1.64,0,0.82
 36-46,0,0,0,0,4.83,1.61,0,140.99,0,0,0.81,16.92,0,0,0,0.81,0,4.03,0,0.81,18.53,0.81,0.81,0,284.4,0,5.64,4.03,0,0,0,0,0,0,0,33.03,0,3.22,0,0
 48-58,0,0,0.57,0,2.87,0,0,133.7,0,0.57,0.57,16.07,0,0,0,0.57,0.57,1.15,0,0,9.75,0,0,0.57,150.34,0,4.59,0.57,0,0,0.57,0,0,0,0,13.77,0,2.3,0,0
 60-70,0,0,0,0,3.93,0.98,0,117.78,0,0.98,0,28.46,1.96,0,0.98,1.96,0,0.98,0,0,11.78,0,0,1.96,154.1,0,2.94,1.96,0,0,1.96,0,0,0,0,9.82,0,0,0,0
 72-82,0,0,2.94,0,6.87,6.87,0,106.02,0.98,0,0.98,28.47,1.96,0,1.96,0,0.98,3.93,0,0,20.61,0,0.98,4.91,175.72,0,8.83,3.93,0,0,4.91,0,0,0.98,0,10.8,0,3.93,0.98,0
 84-94,0,0,2.12,0,16.99,7.43,0,112.58,1.06,2.12,1.06,33.99,6.37,0,15.93,1.06,2.12,5.31,1.06,1.06,16.99,0,0,7.43,126.38,1.06,1.06,4.25,0,0,5.31,0,1.06,1.06,0,3.19,0,2.12,1.06,0
 96-106,0,0,0,0,17.49,12.02,1.09,71.04,1.09,1.09,1.09,25.14,5.46,0,8.74,1.09,1.09,7.65,0,1.09,19.67,1.09,3.28,5.46,91.8,0,4.37,4.37,0,2.19,4.37,0,0,1.09,0,1.09,0,2.19,3.28,0
108-118,0,0,0,0.77,9.96,19.92,1.53,75.83,0,3.06,0.77,29.87,4.6,0,16.09,1.53,1.53,8.43,0.77,0.77,24.51,1.53,0.77,6.13,122.55,0.77,9.96,3.83,0,0,6.13,0,0,0.77,0,2.3,2.3,6.13,1.53,0.77
120,0,0,0,0,23.52,23.52,1.96,50.95,0,1.96,0,19.6,1.96,0,9.8,1.96,0,3.92,0,0,7.84,0,0,1.96,90.15,1.96,1.96,1.96,0,0,3.92,1.96,0,0,0,0,0,7.84,0,0
