stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,1,13,2,6,0,0,0,6,1,0,0,0,1,0,0,0,0,9,0,0,10,158,1,1,0,2,0,2,11,2,0,7,68,0,0,0,0
 24-34,0.82,0,9.03,2.46,39.4,0,0,0,11.49,0,0,0.82,0,1.64,0,0.82,0,0,33.66,0,0.82,9.03,526.99,1.64,6.57,7.39,0,0,2.46,0,0,0,6.57,123.13,0,6.57,0,0
 36-46,0.81,0,2.42,0,129.71,0,0,0,26.59,0,0,1.61,0,0.81,0.81,0.81,0,0.81,40.28,0.81,0.81,6.45,799.22,0.81,6.45,2.42,0,0,3.22,0,0.81,0.81,0,187.72,0,4.83,0,0
 48-58,0,0,3.44,0,213.46,0,1.15,2.3,34.43,0,0,0.57,0,0,0,0,0,0,56.81,0,1.72,7.46,657.01,1.72,4.59,0.57,0,0,2.87,0,0,0,0,120.5,0,1.15,0,0
 60-70,0,0,4.91,0,316.05,0.98,0,4.91,39.26,0.98,0,0.98,0,0,0.98,0,0,0,72.63,0,3.93,3.93,620.32,0,3.93,2.94,0,0,1.96,0,0.98,0.98,0,123.67,1.96,2.94,0.98,1.96
 72-82,1.96,0,1.96,0.98,168.85,0,1.96,1.96,21.6,1.96,0,1.96,1.96,0.98,0,0.98,0,0,64.79,0,1.96,8.83,314.13,0,1.96,0.98,0,0,2.94,0,0,0,0,24.54,2.94,1.96,1.96,0
 84-94,0,0,10.62,0,96.65,0,1.06,2.12,16.99,1.06,1.06,0,0,2.12,2.12,0,0,0,24.43,1.06,3.19,2.12,157.18,2.12,1.06,12.74,0,0,9.56,0,1.06,0,0,21.24,2.12,3.19,1.06,0
 96-106,0,0,4.37,2.19,61.2,0,0,2.19,12.02,3.28,0,1.09,1.09,1.09,1.09,1.09,1.09,1.09,31.69,0,0,1.09,95.08,0,2.19,3.28,0,1.09,5.46,0,0,0,0,5.46,0,0,0,0
108-118,0.77,0.77,3.83,0,32.94,0,0.77,2.3,7.66,1.53,0,0,3.06,2.3,1.53,0,0,0,22.21,0,0,2.3,104.17,0,1.53,0,0,0.77,3.83,0,0.77,0,0,5.36,0.77,0.77,0,2.3
120,0,0,5.88,0,50.95,0,1.96,0,11.76,5.88,0,0,3.92,0,0,0,1.96,0,21.56,0,1.96,1.96,123.47,0,1.96,0,0,0,7.84,0,0,0,0,5.88,0,0,0,0
