stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,2,7,116,29,0,45,0,0,0,9,3,0,1,0,2,0,0,2,0,88,0,0,61,785,16,6,6,43,0,4,3,126,1,5,91,241,0,0,5,0,0
 24-34,0,2.46,6.57,50.89,5.75,0,149.4,0,3.28,3.28,37.76,4.1,0,5.75,1.64,8.21,0,3.28,2.46,2.46,159.25,0.82,0,77.16,1956.92,5.75,13.95,14.78,0,0,15.6,0,0,4.93,2.46,36.94,462.14,0,0,27.09,0,6.57
 36-46,0,0,0,26.59,0.81,0,468.9,0,0,7.25,106.35,3.22,0.81,0.81,0.81,4.03,0,4.83,4.83,2.42,241.7,4.03,3.22,70.09,2528.19,10.47,22.56,11.28,0,0.81,19.34,0,0,3.22,0,1.61,634.87,0,0,17.72,0,4.03
 48-58,0,0,0,17.21,1.72,0,522.16,1.15,1.72,10.9,136.57,0.57,1.15,2.87,1.72,1.15,4.02,4.02,1.15,2.3,218.05,2.3,4.02,39.02,1334.67,4.02,11.48,5.74,0,1.72,10.33,0,0,2.3,1.15,0,315.59,0,1.72,10.9,0,4.02
 60-70,0.98,2.94,0,20.61,6.87,0,951.09,4.91,4.91,11.78,166.86,2.94,0.98,2.94,8.83,2.94,1.96,5.89,0.98,1.96,390.65,3.93,11.78,40.24,1687.24,4.91,21.59,8.83,0,0.98,16.69,0,0,0,0,0,245.38,1.96,5.89,13.74,3.93,0.98
 72-82,0,3.93,0,25.52,22.58,0,566.42,3.93,1.96,17.67,147.25,6.87,0.98,6.87,9.82,4.91,1.96,16.69,0,2.94,366.16,4.91,10.8,37.3,1030.74,3.93,31.41,16.69,0,0.98,14.72,0,0,0,0.98,0,89.33,0.98,9.82,32.39,5.89,2.94
 84-94,0,8.5,0,45.67,15.93,0,383.4,5.31,9.56,10.62,125.32,15.93,1.06,0,20.18,10.62,8.5,7.43,1.06,3.19,275.07,3.19,11.68,27.61,582,6.37,31.86,20.18,0,2.12,43.54,0,0,1.06,0,0,60.54,2.12,7.43,31.86,4.25,1.06
 96-106,1.09,0,0,57.92,13.11,1.09,307.09,6.56,5.46,9.84,145.35,15.3,0,5.46,21.86,10.93,9.84,17.49,4.37,1.09,260.1,9.84,2.19,30.6,454.62,7.65,37.16,17.49,0,8.74,54.64,0,0,2.19,1.09,0,29.51,1.09,4.37,28.41,10.93,8.74
108-118,0,4.6,0,48.26,9.96,1.53,225.96,3.06,10.72,11.49,109.53,22.21,0,1.53,20.68,5.36,15.32,11.49,3.83,1.53,211.41,3.06,6.13,31.4,532.34,8.43,28.34,16.09,0,2.3,31.4,0,0,3.83,1.53,0,19.92,3.06,3.06,19.92,6.13,12.26
120,0,0,0,47.03,25.48,0,207.74,1.96,5.88,0,96.03,25.48,0,0,17.64,13.72,0,13.72,1.96,1.96,137.18,1.96,7.84,13.72,433.11,11.76,13.72,15.68,0,1.96,43.12,0,0,1.96,0,0,15.68,11.76,3.92,9.8,1.96,1.96
