stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,434.87,6918.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.38,0,0,0,0,0,0,0,0,0,0
  5-6,698.78,6920.36,12.26,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,177.76,6.13,0,0,30.65,91.94,0,0,0,0,0,0,0,0,0,0
  7-9,81.49,126.18,249.73,0,5.26,457.4,0,0,0,176.12,0,0,0,0,0,0,0,0,0,0,0,4571.33,81.49,0,0,1863.76,10.51,15.77,0,0,0,0,0,0,0,0,0
 10-12,0,113.29,107,0,9.44,333.58,0,0,0,56.65,0,0,0,0,0,0,0,0,0,0,0,2986.47,47.2,0,0,1107.73,6.29,12.59,6.29,56.65,0,9.44,3.15,0,0,0,0
 14-21,0,0,0,61,5,14,0,4,0,3,0,0,1,0,0,0,1,22,0,0,17,162,6,2,2,1,10,0,12,2,3,21,42,0,0,0,0
 24-34,0,0,0.82,7.39,4.93,119.84,1.64,6.57,0,0,0,0,0,0.82,1.64,0,0,46.79,0.82,0.82,11.49,527.81,1.64,3.28,9.03,0,11.49,0,0,0,0,1.64,108.35,0,6.57,0,0
 36-46,0,0,1.61,5.64,1.61,261.04,0.81,10.47,0,0,0.81,0,0,0,0.81,0.81,0,50.76,0,0.81,8.06,464.87,1.61,3.22,2.42,0,3.22,0,0,0,0,0,90.23,0,2.42,0,0.81
 48-58,0,0,0,5.16,1.15,218.62,1.15,10.9,0,0,0,0.57,0,1.72,1.15,0,0,38.44,0,1.15,5.74,136.57,0.57,0,1.72,0,2.87,0,0,0,0,0,16.64,0,3.44,0,1.15
 60-70,0,0,0,7.85,0.98,234.58,0,6.87,0.98,0,0,0.98,0,0,1.96,0,0,40.24,0,1.96,5.89,114.84,0.98,0,0.98,0,1.96,0,0,0.98,0,0,4.91,0,0.98,0.98,0
 72-82,0,0,0,4.91,1.96,52.03,0,5.89,0,0,1.96,2.94,0,0.98,0,0,0,23.56,0,0,3.93,53.01,0,0.98,0.98,0,0,0,0,0,0,0,0.98,0,1.96,0,0
 84-94,0,0,1.06,5.31,5.31,45.67,0,9.56,1.06,0,0,1.06,1.06,1.06,0,2.12,0,38.23,0,2.12,7.43,37.17,0,0,0,0,1.06,0,0,0,0,0,1.06,1.06,5.31,0,0
 96-106,0,0,0,5.46,5.46,19.67,0,0,1.09,0,0,1.09,0,0,0,0,0,6.56,0,2.19,0,21.86,0,0,1.09,0,0,0,0,0,0,0,0,0,2.19,0,0
108-118,0,0,0,1.53,2.3,18.38,0,5.36,0,0,0.77,0.77,0,0,0.77,0,0,4.6,0,0,2.3,21.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,3.92,1.96,17.64,0,3.92,0,0,0,1.96,1.96,0,0,0,0,7.84,1.96,0,1.96,33.32,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0
