stage,blastomeres,epidermis,eye,glial,gut,ionocyte,liver,mesenchyme,neural,notochord,periderm,taste
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,6.13,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,4.83,0,0,0
 48-58,0,0,0,0,0,0,0,0,6.89,0,0,0
 60-70,0,0.98,0,0,0,0,0,0,7.85,0,0,0
 72-82,0,0.98,3.93,0.98,0,0,0,0.98,16.69,0,0,0
 84-94,0,0,0,3.19,0,0,0,0,11.68,0,0,0
 96-106,0,1.09,2.19,14.21,0,1.09,1.09,1.09,15.3,0,0,0
108-118,0,0,2.3,20.68,0,0,0,0.77,17.62,0,0.77,0.77
120,0,0,3.92,39.2,1.96,0,0,1.96,29.4,1.96,0,0
