stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,1502.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,809.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,26.29,26.29,0,60.46,0,0,0,97.26,0,0,0,0,44.69,0,0,0,0,0,0,0,0,0,0,0,738.67,26.29,0,0,320.7,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,40.91,0,3.15,0,91.26,0,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,1117.17,28.32,0,0,327.28,0,0,12.59,0,47.2,0,0,0,0,0,0,0
 14-21,0,0,0,4,38,9,0,32,0,0,8,3,0,1,0,1,0,0,0,0,38,0,0,23,383,4,1,1,11,0,3,0,32,1,25,116,0,0,3,0,1
 24-34,0,0,0,1.64,21.34,0,0,75.52,0,0,15.6,0.82,0,0.82,3.28,0.82,0.82,1.64,0.82,0,67.31,0,0,29.55,615.64,4.93,4.1,4.1,0,0.82,13.95,0,0.82,1.64,3.28,109.99,0,0,10.67,0,1.64
 36-46,0.81,0,0,0,8.06,0,0,157.11,0.81,0.81,16.92,0,0,2.42,0.81,0,0,0,0,0,76.54,0,0,20.95,456.81,1.61,2.42,2.42,0,0,2.42,0,1.61,0,0,90.23,0,0,4.03,0,0.81
 48-58,0,0,0.57,0.57,6.89,0,0,210.59,0,1.72,21.8,1.15,0,0.57,1.15,1.72,2.3,0.57,1.72,0.57,84.92,0,2.87,15.49,310.43,0.57,1.15,1.15,0,0,1.72,0,0,0,0,64.27,0,0,5.74,0,1.15
 60-70,0.98,0,0,0,9.82,0,0,171.77,1.96,0,26.5,4.91,0,0,0.98,0,2.94,0.98,0,0,60.85,0.98,5.89,6.87,202.19,2.94,3.93,1.96,0,0,2.94,0,0,1.96,0,33.37,0,0,9.82,0,0.98
 72-82,0,0,0.98,0,5.89,2.94,0,83.44,0,0.98,19.63,0.98,0,0.98,0,0,0,0.98,0,0,81.48,0,1.96,11.78,156.08,0,0.98,0.98,0,0,1.96,0,0,0,0,11.78,0,1.96,1.96,1.96,0.98
 84-94,0,0,1.06,0,10.62,0,0,69.03,1.06,2.12,20.18,1.06,0,0,4.25,0,1.06,1.06,1.06,1.06,39.3,0,2.12,7.43,90.27,0,3.19,4.25,0,0,3.19,0,0,0,0,7.43,0,2.12,9.56,2.12,1.06
 96-106,0,0,0,0,7.65,1.09,1.09,44.81,0,0,15.3,6.56,0,0,1.09,2.19,1.09,0,0,0,39.34,0,4.37,5.46,61.2,0,2.19,1.09,0,0,5.46,1.09,0,0,0,6.56,0,0,6.56,1.09,0
108-118,0,0,0,0,5.36,0.77,1.53,33.7,0.77,0.77,14.55,0,0,0.77,2.3,0.77,0,0.77,1.53,0.77,28.34,0.77,2.3,6.13,82.72,0.77,1.53,4.6,0,0,5.36,0,0,0,0,0.77,0.77,0.77,0.77,0.77,0.77
120,0,0,0,0,7.84,1.96,0,35.28,0,1.96,25.48,1.96,0,0,7.84,0,0,1.96,0,0,23.52,0,0,1.96,74.47,0,1.96,1.96,0,0,1.96,0,0,0,0,1.96,1.96,0,7.84,0,0
