stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,10,2,0,0,0,0,0,2,1,0,0,0,0,1,0,5,0,0,3,26,0,1,0,0,0,3,3,0,4,10,0,0,1,0,0
 24-34,0,0,0.82,6.57,0,13.13,0,0.82,0,2.46,0,0.82,0,0,0,1.64,0,0.82,10.67,0,0,7.39,75.52,0.82,0,0.82,0,0,12.31,0,0.82,1.64,18.06,0,0,1.64,0,0.82
 36-46,0,0,0,6.45,0,2.42,0,0.81,0,5.64,0,0,0,0,0.81,1.61,0,0.81,19.34,0,0.81,4.83,69.29,0.81,0.81,0,0,0,7.25,0,0,0,21.75,0,0,4.03,0,4.03
 48-58,0,0,0,2.87,0,16.07,0,1.15,2.3,13.2,0,0,0,0,1.15,2.3,0,1.72,21.23,0,1.15,4.59,65.99,0,0.57,1.72,0,0,5.16,0,0,0,20.66,0,0,1.15,0,4.59
 60-70,0,0,0,2.94,0,24.54,0.98,0.98,1.96,19.63,0,0,0.98,0,2.94,0.98,0.98,0.98,42.21,0.98,2.94,0.98,54.97,0.98,0,0.98,0,0,8.83,0,0,0,11.78,0,0,1.96,0,1.96
 72-82,0,0,0,4.91,0.98,38.28,0,1.96,0,14.72,3.93,0.98,1.96,0,0.98,2.94,1.96,2.94,62.83,0.98,1.96,0.98,74.61,1.96,0,5.89,0,0,7.85,0,0,0,7.85,2.94,0,3.93,0,0.98
 84-94,0,0,0,13.81,0,31.86,0,2.12,0,16.99,11.68,0,1.06,0,2.12,0,2.12,2.12,36.11,1.06,2.12,5.31,37.17,6.37,1.06,3.19,0,1.06,8.5,0,2.12,0,2.12,0,1.06,6.37,1.06,1.06
 96-106,0,0,0,6.56,0,17.49,1.09,2.19,2.19,13.11,6.56,0,1.09,1.09,1.09,0,1.09,0,44.81,0,0,3.28,34.97,1.09,4.37,3.28,0,0,7.65,0,2.19,0,5.46,0,1.09,2.19,4.37,1.09
108-118,0,0.77,0.77,9.19,0,18.38,0,0.77,0.77,11.49,8.43,2.3,2.3,0.77,1.53,0,0.77,2.3,42.13,0,0,3.06,38.3,0,2.3,2.3,0,0.77,6.89,0,0,0,0.77,0,0,8.43,0.77,4.6
120,0,0,1.96,33.32,1.96,19.6,0,1.96,1.96,17.64,11.76,0,0,0,3.92,0,3.92,0,64.67,0,7.84,5.88,58.79,3.92,1.96,3.92,0,0,15.68,0,0,0,1.96,0,0,9.8,3.92,1.96
