stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,2.63,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,3.15,0,0,15.73,0,0,6.29,0,3.15,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0.82,0,0.82,0,0,0,0,0,4.1,0,0,0,0,2.46,0,0,0,0,0.82,0,0,0.82
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0.81,0.81,0,0,1.61,3.22,0,0,0,0,1.61,0,0,0,0,0,0.81,0,0.81
 48-58,0,0,0,0,0,1.15,0.57,0,0,0.57,0,0,0,0,0,2.3,0,0,1.15,1.15,0,0,0,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0.98,0,0,0,2.94,0,0,0,0,0,0,0,2.94,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,3.93,0.98,0,0,0,0,0,0.98,0.98,0,0,5.89,0.98,0,0,0.98,0,0,0.98,0,2.94,0,0,0,0,0,0.98,0.98,0
 84-94,0,0,0,4.25,2.12,1.06,0,0,0,0,1.06,0,0,0,0,1.06,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,2.19,1.09,0,0,2.19,1.09,0,1.09,0,1.09,0,0,2.19,0,0,0,0,0,2.19,0,0,3.28,0,0,1.09,0,0,0,0,0
108-118,0,0,0,2.3,0.77,0,1.53,0,0,0,0,0,0,0,0,1.53,0,0.77,0.77,0.77,0,0.77,0,0,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,1.96,0,0
