stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,67,8,97,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0
 24-34,0,0,0,3.28,0,0,6.57,0,0,4.93,0.82,0,0,11.49,0,0,0,0.82,1.64,0,353.79,0,0.82,362,50.89,22.98,0.82,0,0,0,1.64,0,4.1,0,16.42,8.21,0,0,1.64,0,0
 36-46,0,0,0,2.42,0,0,5.64,0,0.81,36.26,3.22,0,0,16.11,0.81,0,0,1.61,0,0,693.68,0,9.67,281.98,62.84,1.61,1.61,0,0,0.81,1.61,0.81,3.22,3.22,0.81,8.86,0,0,1.61,0,0
 48-58,0,0,0,2.87,0.57,0,28.12,0,0.57,51.07,5.74,0,0,6.89,1.72,0,0.57,0,1.15,0,950.79,2.3,37.3,216.32,88.37,0.57,1.15,1.15,0.57,4.02,2.87,0,1.15,0,0,12.62,0,3.44,1.72,0.57,1.72
 60-70,0.98,0,0,6.87,1.96,0,27.48,0.98,2.94,48.09,6.87,0,0.98,12.76,0,0,0,0.98,1.96,3.93,1415.35,2.94,83.43,160.97,114.84,0,1.96,2.94,0,4.91,4.91,0,0.98,0.98,0,8.83,0,37.3,2.94,34.35,0.98
 72-82,0,0,0,14.72,2.94,0,140.38,4.91,4.91,78.53,20.61,1.96,0,11.78,0.98,0.98,1.96,0,2.94,0,2138.06,0,113.87,183.57,148.23,0,1.96,4.91,0,10.8,8.83,0,0,0.98,0,6.87,0,85.4,13.74,113.87,2.94
 84-94,0,0,0,21.24,4.25,1.06,215.59,3.19,6.37,70.09,18.05,0,0,13.81,2.12,2.12,0,2.12,12.74,0,1586.68,3.19,132.75,134.88,76.47,1.06,1.06,4.25,0,4.25,2.12,0,4.25,0,0,8.5,0,73.28,13.81,135.94,1.06
 96-106,0,0,0,37.16,10.93,1.09,151.91,3.28,5.46,29.51,25.14,7.65,0,15.3,6.56,1.09,2.19,2.19,37.16,1.09,1444.74,3.28,106.01,90.71,146.44,0,1.09,1.09,0,17.49,6.56,0,4.37,1.09,0,3.28,0,60.11,22.95,163.93,5.46
108-118,0,0,0,10.72,8.43,0.77,61.28,0,3.06,34.47,9.96,3.83,0,6.89,2.3,3.83,1.53,1.53,55.15,0,1364.95,0.77,82.72,88.09,124.85,0.77,0,0.77,0,22.98,5.36,0,2.3,0.77,0,0.77,0.77,41.36,19.15,111.83,0
120,0,0,0,23.52,1.96,0,48.99,0,3.92,33.32,9.8,9.8,0,11.76,1.96,1.96,0,0,62.71,0,1144.51,1.96,78.39,48.99,129.35,1.96,0,0,0,17.64,1.96,0,0,0,0,0,1.96,37.24,19.6,182.26,0
