stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,iridophores,mesenchyme,muscle,neural,olfactory,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,382.16,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,30.65,116.46,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,1,0,1,1,3,1,0,0
 24-34,0,0,0.82,0,1.64,0,0,0,0,0,0,0.82,12.31,0,0,0,0,0,0,1.64,1.64,0,0.82
 36-46,0,0,0.81,0,1.61,0,0,0,0,0,1.61,0,18.53,0,3.22,0,0,0,0,3.22,0,0,0.81
 48-58,0,0,0.57,0,2.87,0,0,1.72,0,0,1.15,0,13.77,0.57,0.57,0,0.57,0.57,0,1.72,0.57,0,0
 60-70,0,0,0,0,6.87,0,0,2.94,0,0,2.94,0,16.69,0,0.98,0,0,0,0,0.98,0.98,0,0
 72-82,0,0,0,0,9.82,0,0.98,0.98,0,0,5.89,0,8.83,0,1.96,0,0.98,0,0,3.93,0,0,0
 84-94,0,0,1.06,2.12,5.31,0,0,0,1.06,0,1.06,2.12,7.43,0,3.19,0,1.06,0,0,1.06,2.12,0,0
 96-106,0,0,0,0,3.28,1.09,0,4.37,0,0,0,1.09,6.56,0,1.09,0,0,0,0,0,0,1.09,0
108-118,0,0,3.06,1.53,2.3,0,0,2.3,0,0.77,4.6,0,10.72,0,0.77,0,0,0,0,0,0,1.53,0
120,0,0,3.92,1.96,1.96,0,1.96,1.96,1.96,1.96,3.92,1.96,0,0,3.92,0,0,0,0,0,0,0,0
