stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.49,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,6.29,0,0,40.91,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,5,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,3,22,4,0,0,0,0,6,0,0,1,15,0,0,0,0,0
 24-34,0,0,4.93,0,0,3.28,0,0,0,0.82,0,0.82,0.82,0,0,0.82,0,0,5.75,0,0,3.28,46.79,2.46,0.82,0,0,0,0,0.82,1.64,2.46,14.78,0,0,2.46,0,0
 36-46,0,0,2.42,0,0,6.45,0,1.61,0,2.42,0,0,0,0,0,0.81,0,0.81,4.83,0.81,0,1.61,37.87,1.61,1.61,0,0,2.42,0,0,0,0,12.09,0,0,0.81,0,0
 48-58,0,0,1.72,0,0,22.95,1.15,0,1.72,4.02,0,0,0.57,0,0,0,0.57,0,13.77,0,1.15,2.3,52.22,0,0,0.57,0,2.3,0,0,0,0,12.62,0,0,1.15,0,0.57
 60-70,0,0,3.93,0,0,20.61,0,0.98,0,4.91,0,0.98,0,0.98,0,0,0,0.98,11.78,0,0.98,2.94,43.19,0.98,0.98,0,0,2.94,0,0,0.98,0,5.89,0.98,0,0.98,0,0
 72-82,0,0,2.94,1.96,0,23.56,0,0,0,4.91,0,0,0.98,0,0,1.96,0,0,18.65,0,0,0.98,47.12,0,0.98,0.98,0,3.93,0,0,0,0,2.94,0,0.98,2.94,0.98,0.98
 84-94,0,0,4.25,3.19,0,19.12,0,0,0,7.43,1.06,0,2.12,0,1.06,0,0,1.06,9.56,0,1.06,1.06,24.43,1.06,1.06,1.06,0,12.74,0,0,0,0,2.12,1.06,0,2.12,0,1.06
 96-106,0,1.09,3.28,1.09,0,21.86,0,0,0,3.28,0,1.09,2.19,0,0,0,0,0,8.74,0,1.09,1.09,30.6,0,1.09,2.19,0,14.21,0,0,0,0,2.19,0,0,1.09,2.19,1.09
108-118,0,0,5.36,0,1.53,10.72,0.77,1.53,0.77,3.83,0,0.77,2.3,2.3,0.77,0,0,0,8.43,0.77,0,0.77,26.81,0,0,1.53,0,6.89,0,0,0,0,3.06,0.77,0,3.06,0.77,0
120,0,0,7.84,1.96,0,5.88,0,0,0,7.84,0,0,1.96,0,0,0,0,0,15.68,1.96,0,1.96,41.16,3.92,0,1.96,0,7.84,0,0,0,0,3.92,1.96,0,0,1.96,0
