stage,blastomeres,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,iridophores,melanocytes,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,1.72,0,0,0,0.57,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,0.98,0,0,2.94,0,0.98,0,0,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0.98,0,0,0.98,20.61,0.98,0,1.96,0.98,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,1.06,19.12,0,0,1.06,0,1.06,0,0,1.06,0,0,0,0,1.06,0,0
 96-106,0,0,2.19,0,0,1.09,26.23,0,0,2.19,2.19,1.09,0,0,0,0,0,0,0,2.19,1.09,0
108-118,0,0.77,1.53,0,0.77,3.83,26.04,0,0,1.53,0,2.3,0,0,0.77,0.77,0,0,0.77,0,0,0
120,0,0,0,0,0,0,19.6,0,0,0,0,0,1.96,0,0,0,0,1.96,0,1.96,1.96,0
