stage,blastomeres,epidermis,eye,glial,hatching.gland,immune,mesenchyme,muscle,neural,paraxial.mesoderm,spinal.cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,13.14,2.63,0
 10-12,0,0,0,0,0,0,0,0,6.29,0,0
 14-21,0,0,0,0,0,0,0,1,7,0,2
 24-34,0,0,2.46,0,0,0,0,0,13.95,0,1.64
 36-46,0,0,5.64,0,0,0,0,0,8.06,0,3.22
 48-58,0,0,4.59,0.57,0,0,0.57,0,3.44,0,0
 60-70,0,0,0.98,0,0,0,0.98,0,3.93,0,0
 72-82,0,0,0.98,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,1.06,0,0
 96-106,0,0,0,1.09,0,2.19,0,0,2.19,0,0
108-118,0,0,0,0.77,0,0,0.77,0,3.06,0,0
120,0,1.96,0,0,0,0,0,0,3.92,0,0
