stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,10.51,0,0,0,7.89,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,73.6,21.03,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,25.18,0,0,0,6.29,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,399.67,72.38,0,0,157.35,0,0,0,15.73,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,8,295,8,0,19,0,5,0,8,6,2,0,0,0,0,0,0,33,0,0,47,126,83,0,0,4,0,0,49,1,1,115,92,0,0,1,0,0
 24-34,0,0,5.75,343.12,3.28,0,58.28,0,68.95,0.82,9.85,1.64,0,3.28,0,0,0,1.64,0.82,98.5,1.64,0,92.76,89.47,67.31,1.64,4.93,0,0.82,1.64,0.82,0,2.46,18.88,32.83,0,0,2.46,0,0
 36-46,0,0,0,162.75,0,0,29.81,0,53.17,7.25,8.86,0.81,0,4.83,0,0,0,2.42,0,173.22,1.61,0.81,82.18,40.28,31.42,1.61,3.22,0,0,3.22,0,0,0,0.81,14.5,0,0,2.42,0,0
 48-58,0,0,0,125.66,0,0,60.25,0,74.59,8.61,15.49,0,0,6.31,0,1.15,0.57,3.44,1.15,211.73,0.57,2.3,49.35,56.23,12.62,1.15,5.16,0,0,0,0,0,0.57,0,11.48,0,0,0,0,0.57
 60-70,0,0,0,120.73,0,0,50.06,0,58.89,14.72,7.85,0,0,0.98,0.98,0,0,0.98,0.98,190.42,0.98,2.94,34.35,46.13,1.96,1.96,3.93,0,0,0.98,0,0,0,0,6.87,0,0.98,0,0,0
 72-82,0,0,0,137.43,0.98,0,57.92,0.98,47.12,32.39,27.49,0.98,0,2.94,0,5.89,0,3.93,0,236.58,2.94,2.94,67.73,45.16,12.76,0.98,7.85,0,0.98,0.98,0,0,0,0,4.91,0.98,5.89,2.94,0.98,0
 84-94,1.06,0,0,249.58,0,1.06,70.09,2.12,72.22,27.61,15.93,3.19,0,1.06,0,11.68,0,1.06,2.12,142.31,1.06,2.12,32.92,23.36,8.5,2.12,9.56,0,0,0,0,1.06,0,0,3.19,4.25,1.06,1.06,1.06,0
 96-106,0,0,0,212.01,2.19,0,45.9,1.09,73.22,10.93,32.79,4.37,0,6.56,0,7.65,0,1.09,1.09,160.65,6.56,0,36.06,34.97,10.93,2.19,17.49,0,3.28,3.28,0,1.09,0,0,7.65,1.09,5.46,2.19,3.28,0
108-118,0,0,0,231.32,0,0,47.49,0,72,12.26,27.57,7.66,0,1.53,0.77,10.72,0.77,0.77,0,130.21,2.3,3.83,33.7,35.23,10.72,3.06,14.55,0,1.53,2.3,0,0.77,0,0,2.3,2.3,2.3,0.77,0.77,0.77
120,0,0,0,217.54,0,0,25.48,0,52.91,7.84,35.28,1.96,0,1.96,0,3.92,0,1.96,1.96,139.14,9.8,0,31.36,52.91,11.76,1.96,9.8,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0
