stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,72.38,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,1,0,0,0,0,5,27,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,1,1,3,0,0,0,0,0
 24-34,0,0,1.64,0,0,0,0,0.82,0,0,2.46,13.13,0,0,0,0,0,0,0,0.82,0,0.82,1.64,4.93,0,0,0,1.64,0,0.82,0.82,1.64,0,0,0.82,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,2.42,0,0,0,0.81,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0.57,0,0,0,0,0.57,2.3,0,0,0,0.57,0,0,0,0,0,0,0,0,0
 60-70,0,0,1.96,0,0,0.98,0,0,0,0.98,15.7,0,0,0,0,0,0,2.94,0,0,0,0,0.98,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,1.96,0.98,0,8.83,0,0,1.96,4.91,33.38,0,0.98,0,0,0,0.98,0,0.98,13.74,0.98,0.98,1.96,45.16,2.94,0,0,0.98,0.98,0,0,1.96,0.98,0,0,0,0.98
 84-94,0,0,8.5,2.12,0,9.56,0,0,0,0,110.45,0,1.06,1.06,1.06,3.19,0,1.06,2.12,7.43,1.06,0,2.12,33.99,0,1.06,0,6.37,0,0,0,1.06,0,0,1.06,1.06,0
 96-106,0,4.37,7.65,8.74,3.28,36.06,1.09,2.19,1.09,13.11,145.35,0,0,3.28,4.37,1.09,0,1.09,2.19,25.14,1.09,1.09,6.56,68.85,2.19,0,0,7.65,0,0,0,4.37,1.09,1.09,2.19,1.09,1.09
108-118,0,1.53,6.89,6.13,0.77,16.85,0,2.3,0,5.36,155.49,0,0.77,2.3,0.77,1.53,0,2.3,1.53,24.51,0.77,0,2.3,55.92,0.77,0,0,8.43,0,0.77,0.77,1.53,0,0.77,1.53,1.53,0.77
120,0,0,13.72,0,0,15.68,0,0,0,5.88,82.31,0,0,3.92,0,0,3.92,1.96,0,9.8,1.96,0,0,29.4,0,0,0,5.88,0,0,0,0,0,0,0,1.96,0
