stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,mesenchyme,muscle,neural,paraxial_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,10.51,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0
 14-21,0,1,0,1,0,0,0,1,4,1,1,1,0,0
 24-34,0,0,0,0,0,2.46,0,0.82,3.28,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,2.42,0,0,0.81,1.61,0
 48-58,0,0,0,0,0.57,0,0.57,0,0.57,0,0,0.57,0.57,0
 60-70,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,1.06,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,0,2.19,0,2.19,0,0,0,1.09,0
108-118,0,0.77,0.77,0,1.53,0,0.77,0.77,2.3,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0
