stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.85,0,0,0,28.32,0,0,0,0,0,0,0,0,0
 14-21,0,0,9,1,2,0,9,0,45,1,1,0,0,0,0,0,3,0,0,3,113,199,0,1,1,0,1,77,42,359,0,0,0,0
 24-34,0,0,32.01,0.82,13.13,0,72.24,0.82,46.79,0,0,0,0,0,0,0,9.85,0,0,5.75,206.86,52.53,2.46,2.46,0,3.28,0,4.93,22.98,221.63,0,0,1.64,0
 36-46,0,0,4.03,0,13.7,0.81,81.37,0,59.62,0,0.81,0,0,0,0,0,22.56,0.81,0,8.86,157.11,13.7,0.81,0.81,0,0.81,2.42,2.42,0,144.21,0,0,0,0
 48-58,0,0,4.02,0,10.9,0,87.22,0,66.56,0.57,0,0,0,0,0,0,22.95,0,0,2.3,40.17,2.87,0,2.3,0,1.15,0.57,0,0,88.37,0,0,0,0
 60-70,0,0,4.91,0,5.89,0,96.19,0.98,51.04,0,0.98,0,0,0,0,0,51.04,0.98,0.98,3.93,28.46,0.98,0,0.98,0,2.94,1.96,0,0,27.48,0,0,0,0
 72-82,0,0,6.87,0,16.69,0,117.8,2.94,41.23,0,0,0,0,0,0,0.98,102.09,0,0.98,0.98,34.36,0,0,3.93,0,10.8,0,0,0,20.61,0,0,0,2.94
 84-94,0,0,22.3,0,20.18,3.19,184.79,2.12,33.99,0,0,0,1.06,0,0,1.06,52.04,0,2.12,1.06,19.12,0,0,4.25,0,24.43,4.25,0,0,9.56,1.06,0,1.06,0
 96-106,0,0,21.86,0,20.76,1.09,217.48,1.09,26.23,0,3.28,2.19,4.37,1.09,1.09,1.09,69.94,0,1.09,3.28,16.39,0,0,4.37,0,37.16,0,0,0,7.65,0,0,0,0
108-118,0,0.77,31.4,0.77,40.6,0,314.04,1.53,19.92,1.53,1.53,0,3.83,0,0,0,99.58,0,0,3.06,19.92,1.53,0,5.36,0,22.21,3.83,0,0,3.83,0,0.77,0,0.77
120,0,0,25.48,0,35.28,1.96,239.09,1.96,13.72,0,1.96,3.92,0,0,0,0,90.15,1.96,0,1.96,13.72,0,0,1.96,0,25.48,5.88,0,0,3.92,1.96,0,0,0
