stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,15.77,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,1,8,1,0,0,0
 24-34,0,0,0,0.82,0,3.28,0,0,0,0.82,3.28,0,0.82,0.82,1.64,0,22.98,0,2.46,0.82,0,0,0,0,8.21,0,1.64,0
 36-46,0,0,0,0,0,3.22,0,0.81,0,2.42,1.61,1.61,0,0,0,0.81,45.92,0,2.42,0,0,1.61,0,0,8.06,0,0,0
 48-58,0,0,0,0.57,0,6.31,0.57,0,0,1.15,0,0,0,0,5.74,0.57,44.76,0,0.57,0,0,0,0,0,6.89,0,0,0
 60-70,0,0,0,0,0,14.72,0,0,0,0,0,0,0,0,5.89,0.98,68.71,0,0.98,0,0,0,0,0,8.83,0,0,0
 72-82,0,0,0,0.98,0,41.23,0,0,0.98,14.72,0,0.98,0.98,0,12.76,1.96,95.22,0,0.98,0,0,0.98,0,0,6.87,0.98,0,0
 84-94,0,0,0,1.06,0,23.36,0,0,0,2.12,0,0,3.19,0,4.25,0,43.54,0,0,0,0,1.06,0,0,7.43,0,0,1.06
 96-106,0,0,0,1.09,0,16.39,0,0,2.19,10.93,0,0,1.09,0,8.74,0,31.69,0,2.19,1.09,0,0,0,0,1.09,0,0,0
108-118,0,0,0,1.53,0.77,16.85,0,0,0.77,11.49,0,0,0,0,6.13,2.3,56.68,1.53,0.77,0.77,0,0.77,0,0,2.3,0,0,0
120,0,0,0,3.92,0,21.56,0,0,0,11.76,0,0,1.96,0,7.84,1.96,60.75,0,1.96,3.92,0,0,0,0,5.88,0,0,0
