stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,18.4,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,6,1,3,0,0,2,1,0,0,0,0,0,8,0,0,1,26,0,0,1,1,0,0,2,7,19,0,0,0
 24-34,0,0,0,18.06,0,4.1,0,0,0,0.82,0,0.82,0,0,0,4.93,0,0,1.64,27.91,2.46,0,0.82,0,0,0,1.64,0,8.21,0,0,0
 36-46,0,0,0,10.47,0,3.22,0,0,2.42,0,0,0,0,0.81,0,7.25,0,0,1.61,20.14,0.81,0,2.42,0,0,0,0,0,6.45,0,0,0
 48-58,0,0,0,7.46,0,4.02,0,0.57,4.02,0,0,0,0,0,0,7.46,0.57,0,0.57,9.18,0.57,0,3.44,0,0,0,0,0,1.15,0,0,0
 60-70,0,0,0,17.67,0,2.94,1.96,0.98,2.94,0,0,0,0,0,0,7.85,0,0,0,6.87,0,0,2.94,0,0,0,0,0,0,5.89,0,0
 72-82,0,0,0,23.56,0.98,0.98,0.98,0,2.94,1.96,0,0.98,0,0,0,15.71,0,0,0.98,5.89,0,1.96,6.87,0,0,0,0,0,0,25.52,0.98,0.98
 84-94,1.06,0,0,33.99,0,7.43,0,1.06,1.06,2.12,0,0,1.06,0,0,4.25,0,2.12,0,1.06,0,2.12,3.19,0,0,0,0,0,1.06,96.65,0,0
 96-106,0,0,0,33.88,1.09,0,0,0,1.09,2.19,0,0,0,0,0,5.46,0,0,0,7.65,1.09,0,4.37,0,0,0,0,0,0,59.01,0,0
108-118,0,0,0,24.51,0,0.77,0,2.3,1.53,3.06,0,0,0.77,0.77,0,6.13,0,0,0,4.6,0,1.53,9.19,0,0.77,0,0,0,0,63.57,0.77,0
120,0,0,0,19.6,0,0,0,0,0,3.92,0,0,1.96,0,1.96,0,0,3.92,1.96,1.96,0,0,0,0,0,0,0,0,0,9.8,0,0
