stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,heart,immune,mesenchyme,neural,periderm,spinal.cord,vasculature
 14-21,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,6.57,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,0
 36-46,6.45,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0
 48-58,2.3,0,0,0,0,0,0,0,1.15,0,0,0,1.15,0,0,0
 60-70,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
 72-82,12.76,0,0,0,0.98,1.96,0.98,0.98,0,0,0,1.96,1.96,0,0,0.98
 84-94,13.81,0,0,0,0,0,0,0,10.62,0,0,2.12,0,0,0,0
 96-106,21.86,0,2.19,1.09,0,1.09,0,1.09,9.84,1.09,1.09,3.28,6.56,3.28,0,0
108-118,13.02,0,0.77,0,0,0.77,0,0.77,6.89,0,0.77,0.77,2.3,0.77,0,0
120,11.76,0,1.96,0,0,0,0,0,5.88,0,0,1.96,1.96,0,0,0
