stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0,18.4,0,2.63,0,0,0,0,0,0,0
 10-12,6.29,6.29,0,0,0,157.35,0,0,0,0,0,0,0,0,0,0,0,173.08,0,18.88,0,0,0,0,0,0,0
 14-21,0,0,12,2,0,17,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
 24-34,0,0,0.82,0,0,109.99,0,0,0.82,0,0,0,0,0.82,0,0,0,0.82,0,0,0.82,0.82,0.82,0,0,0,0
 36-46,0,0,0,0,0,72.51,0,0,0,0,0,0,0.81,0,0,0,0,4.03,0.81,0,0,0,1.61,0,0.81,0,0
 48-58,0,0,0,0,0,98.69,0,0,0.57,0,0,0,0,0,1.15,0,0.57,6.89,0,0,0,0,1.72,0,1.72,0,0
 60-70,0,0,0,1.96,0,120.73,0,0,0.98,0,0.98,0,0,0,2.94,0,0,4.91,0,0,0.98,0,0,0.98,0,0,0
 72-82,0,0,1.96,12.76,0,91.29,0.98,0.98,1.96,0,0,0,0,0,4.91,0,0,14.72,0,0,0.98,0,0.98,0.98,0.98,0.98,0
 84-94,0,0,1.06,10.62,0,203.91,0,0,1.06,0,0,2.12,1.06,1.06,3.19,0,0,10.62,0,0,2.12,0,0,0,0,0,1.06
 96-106,0,0,3.28,9.84,2.19,175.95,0,0,3.28,1.09,0,0,0,0,3.28,0,1.09,5.46,3.28,0,1.09,0,0,0,2.19,0,0
108-118,0,0,2.3,0.77,0.77,186.13,0,0.77,0,0,0,0.77,0.77,0,0.77,0,0,8.43,1.53,0,2.3,0,0,2.3,0.77,0,0
120,0,0,0,7.84,0,47.03,0,0,0,0,0,1.96,0,0,1.96,1.96,0,7.84,0,0,0,0,1.96,0,0,0,0
