stage,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,mesenchyme,muscle,neural,notochord,otic,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,3,2,1,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,1,15,0,0,1,0
 24-34,1.64,1.64,0.82,2.46,0,0,0,0,0,0,0,0,0,0,150.22,0.82,0,0.82,0,81.26,0,0,0.82,0
 36-46,0.81,0,0,1.61,0,0,0,0,0,0,0,0,0,0,263.45,0,0,0,0,87.82,0,0,0,0
 48-58,0,0.57,0,4.59,0,1.15,0.57,0,0.57,0,0,0,1.72,0.57,227.23,0,0,0,0,67.14,0,0.57,0,0
 60-70,1.96,0,0,13.74,0.98,0,2.94,0,0,0,0,0,5.89,0,327.83,0,0,0,0,43.19,0,0,0,0
 72-82,0.98,0,1.96,35.34,0,1.96,5.89,1.96,0,0,0,0.98,2.94,0,467.27,0,0,0,0.98,37.3,0,0,0.98,0.98
 84-94,1.06,0,3.19,26.55,0,1.06,6.37,2.12,0,1.06,0,0,0,0,251.7,0,1.06,0,0,14.87,0,0,1.06,0
 96-106,6.56,0,3.28,38.25,0,0,8.74,1.09,0,2.19,0,0,2.19,0,213.11,0,0,1.09,0,16.39,0,1.09,0,0
108-118,2.3,0,3.06,19.92,0,0,2.3,0,0,0,0.77,0,5.36,0,261.19,0,0,0,0,7.66,0.77,0,0.77,0
120,0,0,0,35.28,0,0,7.84,0,0,1.96,0,1.96,7.84,0,264.57,0,0,1.96,0,5.88,0,0,0,0
