stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,hatching_gland,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,spinal_cord
  3-4,92.25,1963.51,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0
  5-6,36.78,1023.65,0,0,0,0,0,0,0,12.26,0,0,6.13,18.39,0,0
  7-9,0,7.89,0,5.26,0,10.51,0,2.63,0,60.46,2.63,0,26.29,0,2.63,0
 10-12,0,0,0,0,0,0,0,0,0,9.44,0,0,9.44,0,0,0
 14-21,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,0,3.28,1.64,0,0,0,0,0,0.82
 48-58,0,0,0,0,0,0.57,0,0,0.57,1.15,0,0.57,0,0.57,0,0
 72-82,0,0,0.98,0,0,0,0,0,0,0.98,0,0.98,0,0,0,0
 84-94,0,0,0,0,0,1.06,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0.77,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,1.96,1.96,0,0,1.96,0,0,0,0,0,0
