stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,immune,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,26.36,434.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0
  5-6,0,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0
 14-21,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1
 24-34,0,0,0.82,0.82,1.64,0.82,0,0,0.82,0,0,6.57,0,0,2.46,14.78,0,0.82,0,0,5.75,9.85
 36-46,0,0,0,0,0,3.22,0.81,0.81,0.81,0,0,0.81,0.81,0,0,4.83,0,0,0,0,1.61,0.81
 48-58,0,0,0,0,0,1.72,0,0,0,0,0.57,0.57,0,0.57,0.57,1.72,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0.98,0,0,0,0,0.98
 72-82,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,1.96,0.98,0,0,0,0,5.89
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25
 96-106,0,0,0,0,0,1.09,0,0,2.19,0,0,2.19,0,0,0,1.09,0,0,0,0,0,4.37
108-118,0,0,0,0,0.77,0,0,0,0.77,1.53,0,0.77,0,0,0,0.77,0,0,0,0,0,2.3
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,1.96
