stage,axial,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,2,140,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,3,0,0,94,0,0
 24-34,0,0.82,2.46,27.09,0,1.64,0,0,0,0,0,16.42,1.64,0.82,0.82,0,3.28,0,0.82,19.7,0,0,2.46,0,0.82,0,0.82,0,0.82,3.28,0,0,403.04,0,0
 36-46,0,0,0.81,2.42,0,2.42,0,0,0,0.81,0,14.5,0.81,0,0,0,3.22,0,0,8.86,0.81,0,0.81,0,0,0,0,0,0,1.61,0,0,251.37,0,0
 48-58,0,0,0.57,1.15,0,3.44,0,0.57,0,0,0,29.26,3.44,0.57,0,0.57,10.9,0,0,10.9,0.57,0,1.72,0,0,0,0,0,0,1.15,0,0,215.75,0,0
 60-70,0,0,0,0.98,0,8.83,0,0,0,2.94,0,26.5,9.82,0,0,0,6.87,0,1.96,10.8,0,0,0.98,0,0,0,1.96,0,0,1.96,0,0,196.3,0,0
 72-82,0,0,0,0.98,0,7.85,0,0.98,1.96,0,0.98,44.17,7.85,0.98,0,0,23.56,0.98,0,18.65,0,1.96,0.98,0,0,0,0,0,0,0.98,0,1.96,362.23,0.98,0.98
 84-94,0,0,0,2.12,0,7.43,0,0,0,4.25,1.06,26.55,18.05,1.06,0,0,24.43,0,0,6.37,0,1.06,1.06,0,0,0,0,0,0,0,0,0,341.98,0,0
 96-106,0,0,2.19,4.37,0,5.46,1.09,1.09,0,1.09,1.09,53.55,8.74,1.09,1.09,0,26.23,2.19,3.28,14.21,0,2.19,2.19,0,1.09,0,2.19,0,0,0,0,1.09,396.7,1.09,0
108-118,0.77,0,3.06,1.53,0.77,12.26,0,1.53,0,0.77,0,20.68,9.96,0,0.77,0,21.45,0,0.77,8.43,0,0.77,1.53,0.77,0.77,0,2.3,0,0,0.77,0,0.77,325.53,0.77,0
120,0,0,0,1.96,0,1.96,0,0,0,3.92,0,23.52,9.8,0,1.96,0,15.68,0,0,11.76,0,1.96,0,0,0,0,0,0,0,0,1.96,1.96,292.01,1.96,0
