stage,axial,blastomeres,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0
 24-34,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0
 36-46,0,0,0,10.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,73.45,0,0,0.57,0,0,0,0,0,0,1.72,0,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,374.94,0,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,1.96,0,0,0,0
 72-82,0,0,0.98,377.94,0.98,0.98,0.98,0,0,0,1.96,0,0,4.91,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,1.06,316.49,1.06,0,2.12,0,1.06,0,0,0,1.06,4.25,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,236.05,0,0,0,1.09,0,1.09,1.09,0,0,4.37,0,1.09,0,0,1.09,0,0,0,0,0
108-118,0,0,0,133.28,0,0,0,0,0,0.77,0,0.77,0,3.83,0,0,0.77,0.77,0,0.77,0.77,0,0,0.77
120,0,0,0,92.11,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0
