stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2,9,2,0,8,0,0,0,0,1,0,0,0,0,0,3,0,0,12,65,1,0,0,2,0,0,9,1,3,25,0,0,0,0
 24-34,0,5.75,0,0,4.1,0,0,0,2.46,0,0,0,0,0.82,0,12.31,0,0,4.93,58.28,0,0,0,0,0,3.28,0,0,0.82,18.06,0,4.93,0,0
 36-46,0,0.81,0,0,9.67,0,0,0.81,4.03,0,0.81,0,0,0,0,10.47,0,0.81,0.81,53.17,0,0.81,0,0,0,1.61,0,0,0,16.11,0,1.61,0,0
 48-58,0,1.15,0,0,13.77,0,0,1.15,4.02,0,0,0,0,0,0,12.05,0,1.15,1.15,43.61,0,0,0.57,0,0.57,2.3,0,0,0,8.61,0,0,0,0
 60-70,0,0,0,0,10.8,0,0,0,6.87,0.98,0,0.98,0,0,0,9.82,0,0,0.98,38.28,1.96,0,0,0,0,0.98,0,0,0,5.89,0,0.98,0,0
 72-82,0,2.94,0,0,28.47,0,0,0.98,12.76,0,1.96,0,0.98,0,0,12.76,0,2.94,0.98,30.43,0,1.96,1.96,0,0,0.98,0,0,0,6.87,0,0,0.98,0
 84-94,0,1.06,0,0,6.37,1.06,1.06,0,2.12,1.06,0,1.06,0,0,0,10.62,0,0,0,18.05,0,0,0,0,0,1.06,0,0,0,0,1.06,0,0,1.06
 96-106,0,1.09,1.09,0,8.74,0,0,0,5.46,1.09,0,1.09,0,0,0,13.11,0,0,0,16.39,0,0,2.19,0,0,1.09,0,0,0,0,0,1.09,1.09,0
108-118,0,2.3,1.53,0,4.6,1.53,1.53,0.77,2.3,1.53,0,0,0.77,0,0.77,10.72,0.77,0.77,0,16.09,0,1.53,1.53,0,0,0,0,0,0,1.53,0.77,1.53,0,0
120,0,0,0,1.96,5.88,0,0,0,1.96,0,1.96,0,1.96,0,0,9.8,0,1.96,5.88,19.6,1.96,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0
