stage,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,5,1,0,0,1,0,1,4,0,1
 24-34,0,2.46,0.82,0,0,0.82,0,0.82,0,0,0,0,0,4.1,0,0,3.28,30.37,0,0,0,0,0,0,7.39,0,0.82
 36-46,0,0,3.22,0,0.81,0,0,0,0,0,0.81,0,0,1.61,0,0,0,36.26,0.81,0.81,0.81,0,0,0,4.83,0,0
 48-58,0,0.57,5.74,0.57,0.57,0,1.15,0,0,0,0,0,0,2.87,0,0.57,1.15,39.02,0,0,1.15,0,0,0,8.03,0,0
 60-70,0,0,5.89,0,0.98,0,3.93,0,0,0,0,0,0,4.91,0,0,0,56.93,0,0,3.93,0,0.98,0,3.93,0.98,0
 72-82,0,0,16.69,0.98,0,0,7.85,0,0,0,0,0,0,14.72,0,0,0.98,56.94,0.98,0,10.8,0,0,0,7.85,0.98,0
 84-94,0,1.06,20.18,0,0,0,3.19,0,0,0,1.06,0,0,2.12,0,0,0,33.99,0,0,10.62,0,0,0,3.19,0,0
 96-106,0,1.09,6.56,0,0,0,7.65,0,0,1.09,0,1.09,1.09,4.37,0,0,1.09,18.58,0,0,13.11,0,0,0,1.09,2.19,1.09
108-118,0,0.77,5.36,0,0,0,5.36,0,0,0,0,0,0,3.83,0.77,0,0.77,21.45,0,0,8.43,0,0.77,0,0,0,0
120,0,3.92,3.92,0,0,0,13.72,0,1.96,0,0,0,0,3.92,0,0,0,48.99,0,0,3.92,0,0,0,0,0,0
