stage,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0.82,0,0,0.82,0,0,0,0,0.82,0.82,0,1.64,0,0,3.28,3.28,0,0,0,0,0,0.82,0
 36-46,0,0.81,0,0,0,0.81,0,0,0,2.42,0.81,0,2.42,0,0.81,4.03,0,0,0,3.22,0,0,0,0
 48-58,0,0.57,0,0,0,0,0,0,0,4.59,0,0,1.72,0,1.72,3.44,0.57,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,3.93,0,0,16.69,0.98,0,0,0,0.98,0.98,0,0,0,0,0,0.98,0.98,0
 72-82,0.98,0,0,0,0.98,0,0.98,0.98,0,14.72,0.98,0.98,7.85,0,0,3.93,1.96,0,0,0.98,0,0,1.96,0
 84-94,1.06,5.31,1.06,1.06,1.06,0,1.06,1.06,1.06,33.99,1.06,2.12,7.43,1.06,0,3.19,2.12,0,0,0,0,0,2.12,1.06
 96-106,0,1.09,0,0,0,0,0,1.09,1.09,22.95,0,2.19,2.19,0,0,3.28,2.19,0,0,0,0,0,4.37,0
108-118,0,3.06,0,0,0.77,0,0,0,0,22.21,0.77,1.53,3.83,0,1.53,2.3,0.77,0,0.77,0,0.77,0,0,0
120,0,3.92,0,0,1.96,0,0,0,0,17.64,0,0,1.96,0,0,1.96,0,1.96,0,0,0,0,1.96,0
