stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,17,5,0,2,0,0,0,2,0,0,0,2,0,0,0,3,0,0,4,68,0,0,0,5,0,0,7,1,0,21,26,0,0
 24-34,0,0,4.1,1.64,0,23.8,0,0,0,1.64,0,0,0.82,1.64,0,0,0,9.03,0,0,3.28,133.8,0,0.82,0,0,0,7.39,0,2.46,0.82,1.64,22.98,0,2.46
 36-46,0,0,1.61,0.81,0,10.47,0,0,0.81,3.22,0,0,0,0,0,0,0,0.81,0,0,0,82.98,0.81,0,0,0,0,2.42,0,0,0,0,8.86,0,1.61
 48-58,0,0,1.72,0,0,13.77,0,0,0,6.31,0,0,0,0.57,0,0,0.57,4.02,0,0,1.15,41.89,1.15,0,0,0,0,2.3,0,0.57,0,0,5.74,0,1.72
 60-70,0,0,1.96,1.96,0,15.7,0,0.98,0,6.87,0,0,0,0,0,0.98,0,7.85,0.98,0,0.98,21.59,0.98,0.98,0,0,0,0,0,0,0,0,3.93,0,0
 72-82,0,0,0.98,4.91,0,15.71,0,0,0.98,2.94,0,0,0.98,0,0,0,0,6.87,0,0,0.98,14.72,0,0.98,0.98,0,0.98,0.98,0,0,0,0,0,0.98,1.96
 84-94,0,0,4.25,6.37,0,14.87,0,0,1.06,1.06,0,0,0,1.06,1.06,0,1.06,2.12,0,0,0,9.56,1.06,0,3.19,0,0,7.43,0,0,0,0,1.06,0,0
 96-106,0,0,1.09,2.19,0,7.65,0,1.09,0,2.19,0,0,2.19,0,0,0,0,3.28,0,0,1.09,8.74,0,0,1.09,0,0,4.37,0,0,0,0,0,0,2.19
108-118,0,0,3.06,3.83,2.3,6.13,0,0.77,0,2.3,0,0,0.77,0,0.77,0.77,0,4.6,0,0,0.77,6.89,0,0,0,0,0,2.3,0,0,0,0,0,0,0.77
120,0,0,7.84,11.76,0,9.8,1.96,1.96,0,1.96,1.96,1.96,3.92,0,0,0,0,9.8,1.96,1.96,3.92,29.4,0,0,0,0,1.96,1.96,0,0,0,0,1.96,0,0
