stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,461.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,18.39,202.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,15.77,2.63,0,13.14,0,0,5.26,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,118.29,0,0,0,57.83,0,5.26,5.26,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,0,28.32,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,132.17,6.29,0,0,53.5,0,0,3.15,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,0,8,0,0,0,0,0,1,0,0,1,0,1,0,0,0,3,0,0,4,15,0,0,0,2,0,3,0,1,5,3,7,0,2,0,0
 24-34,0,0,0,0,2.46,0.82,8.21,0,1.64,0,0,0,0,0.82,0,2.46,0.82,0,0.82,5.75,1.64,0,4.93,57.46,0,0,0,0,0,20.52,0,0,2.46,1.64,22.16,0,2.46,0,0
 36-46,0,0,0,0,1.61,0,19.34,0,0.81,2.42,0.81,0,0,0,0,0.81,0.81,0,0.81,4.03,0,0.81,1.61,61.23,0,1.61,0,0,0,8.86,0,0,2.42,0,12.89,0,1.61,0,0
 48-58,0,0,0,0,1.15,0,17.79,0,0.57,4.02,5.16,0,0.57,0,0,0,0,0,0.57,2.87,0,0,2.3,35.58,0,2.3,0,0,0,5.74,0,0,0,0,8.03,0,1.72,0,0.57
 60-70,0,0,0.98,0,0,0.98,50.06,0,0.98,2.94,5.89,0,0.98,0,0,0,0,0.98,0,14.72,0.98,0,0.98,64.78,0,1.96,0,0,0,8.83,0,0,0,0,14.72,0.98,1.96,0,0.98
 72-82,0,0,0,0,1.96,0,34.36,0,0,3.93,8.83,2.94,0,0.98,0,0,0,0,0,15.71,0.98,0,1.96,36.32,0,0,2.94,0,0,2.94,0,0,0.98,0,0.98,0.98,0.98,0.98,0
 84-94,0,0,0,0,3.19,1.06,13.81,0,0,6.37,9.56,2.12,1.06,0,0,0,0,0,0,12.74,0,0,0,20.18,0,0,0,0,1.06,5.31,0,0,2.12,0,3.19,1.06,1.06,1.06,0
 96-106,0,0,0,0,0,1.09,14.21,1.09,0,0,2.19,1.09,0,1.09,0,0,0,1.09,0,5.46,0,0,1.09,5.46,0,1.09,0,0,0,7.65,0,0,1.09,0,1.09,0,2.19,0,1.09
108-118,0,0,0,0,0.77,1.53,12.26,0,0,0,0.77,0,0,0.77,0.77,0,0.77,0,0,9.96,0,0,1.53,16.09,0,1.53,0.77,0,0,5.36,0,0,0.77,0,0.77,0,1.53,0,0.77
120,0,0,0,0,0,0,15.68,0,0,1.96,0,1.96,0,1.96,1.96,0,0,0,0,5.88,0,0,0,29.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
