stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.67,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,134,13,0,21,0,1,0,0,0,1,1,2,4,0,0,0,6,0,0,3,31,0,2,0,0,0,0,1,0,0,3,0,0,1,0,0
 24-34,0,0,0,1.64,45.97,39.4,0,0.82,0,7.39,0,0,0,11.49,0,4.1,6.57,0,0,0,0.82,4.1,0,0.82,23.8,2.46,1.64,0,0,0,2.46,0,1.64,0,3.28,0,0,4.1,0,0
 36-46,0,0,0,0,44.31,5.64,0,0.81,0,8.86,0,0.81,0.81,12.89,1.61,7.25,1.61,0,0.81,0,1.61,4.03,0,0,37.06,0.81,0.81,0.81,0,0,0,0,0.81,0,0.81,0,0,2.42,0,0
 48-58,0,0,0,0,51.07,7.46,0,5.16,0.57,29.84,0,1.15,1.72,26.97,0.57,14.35,1.72,0,1.15,0.57,3.44,4.02,0,1.15,20.66,0,0.57,0,0,0,0.57,0,0.57,0,5.74,0,0,2.3,0,0.57
 60-70,0,0,0,0,90.3,11.78,0,1.96,0.98,38.28,0.98,0.98,7.85,14.72,0,19.63,0.98,0.98,1.96,0.98,7.85,7.85,0,0.98,14.72,0,3.93,0.98,0.98,0,5.89,0,1.96,0,1.96,0.98,0,2.94,0,0.98
 72-82,0,0,0,0,94.24,19.63,0,17.67,3.93,27.49,0.98,0.98,9.82,9.82,2.94,19.63,0,1.96,2.94,0.98,9.82,9.82,0,0.98,19.63,0.98,3.93,0.98,0,0,4.91,0,0,0.98,1.96,0.98,0,4.91,0,0.98
 84-94,0,0,0,0,170.99,30.8,0,6.37,0,66.91,0,1.06,24.43,11.68,4.25,43.54,6.37,0,0,0,10.62,8.5,0,0,11.68,0,6.37,0,0,0,15.93,0,3.19,1.06,2.12,7.43,0,3.19,0,0
 96-106,0,0,2.19,0,203.27,28.41,3.28,9.84,9.84,42.62,0,0,31.69,1.09,7.65,44.81,2.19,0,6.56,0,14.21,8.74,0,1.09,24.04,2.19,21.86,8.74,0,2.19,52.46,1.09,1.09,4.37,1.09,9.84,2.19,5.46,1.09,0
108-118,0,0,0,0.77,194.55,19.15,0,5.36,8.43,58.21,1.53,2.3,29.87,0,1.53,40.6,3.83,0.77,2.3,1.53,13.02,5.36,0.77,1.53,15.32,1.53,6.13,3.06,0,0,22.98,0,0.77,6.89,0,9.96,0,7.66,2.3,1.53
120,0,0,0,1.96,219.5,29.4,0,0,11.76,54.87,0,3.92,25.48,0,3.92,62.71,7.84,1.96,5.88,1.96,1.96,3.92,1.96,5.88,19.6,5.88,17.64,9.8,0,0,39.2,0,1.96,5.88,0,9.8,1.96,11.76,0,0
