stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,10.51,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,10.51,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,1,0,0,2,1,4,0,0
 24-34,0,0,0,0,3.28,0,0,0,0,0.82,0.82,5.75,0.82,0,0,3.28,0.82,0,0,0,1.64,0,5.75,0,0,2.46
 36-46,0,0,0,0.81,0.81,0,0,0,0,0,0,2.42,1.61,0.81,0,3.22,0,0,0,0,0,0,2.42,1.61,0,0
 48-58,0,0,0,0,1.15,0.57,0,0,0,0,0,0,2.87,0,0,4.02,0.57,0,0,0,0,0,0.57,0.57,0,0.57
 60-70,0,0,0,0.98,1.96,0,0,0,0,0.98,0.98,0,4.91,0,0,2.94,0,0,0,0,0,0,3.93,0,0.98,0
 72-82,0,0,0,0,2.94,0,0,0,0.98,0,0,0,2.94,0,0,3.93,0,0,0,0,0,0,2.94,0.98,1.96,0
 84-94,0,0,0,0,2.12,0,1.06,0,0,0,0,1.06,1.06,0,0,4.25,0,0,0,0,0,0,8.5,0,1.06,0
 96-106,0,0,0,0,2.19,2.19,1.09,0,1.09,0,0,0,2.19,0,2.19,1.09,0,0,0,0,0,0,5.46,0,0,0
108-118,0,0,0,0,1.53,1.53,0,0,0,0,0.77,0,0,0,0.77,3.83,0,0.77,0.77,0,0,0,2.3,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84,0,0,0
