stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
 24-34,0,0.82,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0,1.64,0,0,0.82,0,0.82,0,0.82,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0.81,0.81,0,0,0,1.61,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,14.35,0,0,0,0,0,1.15,0,0.57,0,1.72,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,72.63,0,0,0,0,0,4.91,0.98,0.98,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,182.59,0,0,0,0,0,14.72,0,0.98,0,5.89,0,0,0,0,0,0,0,1.96,0
 84-94,0,0,0,0,1.06,140.19,0,0,0,0,1.06,19.12,0,1.06,1.06,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,106.01,1.09,0,0,0,0,7.65,0,3.28,0,1.09,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,1.53,0,94.98,0,0,0.77,0.77,0,9.19,1.53,2.3,0,3.83,0,0.77,0,0.77,0,0,0,0,0
120,0,0,0,0,0,68.59,0,1.96,0,0,0,11.76,0,1.96,0,1.96,0,0,0,0,0,0,0,0,1.96
